sqft,bedrooms,home_age,neighborhood,garage,price
740,2,35,industrial,one,145147.49
1056,2,37,university,two,298824.34
2053,6,75,riverside,one,510197.74
4172,1,18,industrial,one,830249.9
1717,1,68,university,two,397775.67
4155,6,17,university,one,897073.71
3003,1,50,suburban,two,579249.76
907,1,23,industrial,two,198994.2
737,1,83,industrial,two,107723.78
3854,3,69,university,one,741032.54
2601,3,37,suburban,two,544357.31
3513,6,36,riverside,none,799111.01
3598,2,71,riverside,two,738319.31
2543,5,72,central,two,574173.11
4109,5,10,central,none,891615.03
3961,1,36,suburban,one,820509.3
3798,2,85,industrial,none,631221.98
1651,5,59,suburban,two,356717.21
2274,3,84,industrial,two,401061.39
1606,6,73,university,one,300317.22
1301,3,54,riverside,one,311545.68
3094,2,87,central,two,660256.12
3512,4,6,suburban,none,749431.75
2623,3,10,riverside,one,621169.25
1772,5,67,central,none,440958.92
1960,5,29,suburban,one,492731.22
1132,2,13,university,one,345905.38
3207,3,16,central,one,738701.22
2004,1,52,suburban,one,409343.83
1454,1,61,university,one,290566.71
990,6,22,riverside,two,376239.1
1904,4,71,industrial,none,289482.65
1493,2,34,central,two,364822.92
3485,5,21,central,none,829662.95
1461,4,78,central,none,355142.61
4140,6,56,riverside,two,973549.94
2379,6,43,central,one,577094.33
2580,1,13,university,none,575561.88
953,4,95,suburban,one,206856.57
2614,4,22,suburban,two,523397.68
2727,3,61,central,one,565327.45
970,5,69,riverside,two,289281.14
1464,3,20,central,none,451076.35
1015,6,91,university,two,230852.91
1731,1,18,central,none,419675.25
3306,6,37,central,none,773154.61
4195,4,92,university,none,825433.99
3485,6,28,industrial,one,747085.19
3409,5,78,central,none,724473.4
1999,5,13,riverside,one,537138.18
2492,2,9,industrial,none,482286.35
3663,2,85,university,none,682578.37
2756,2,24,suburban,none,540662.12
3247,1,8,riverside,none,662114.73
2196,3,22,industrial,none,406612.12
2304,6,26,university,none,511086.92
3654,1,95,industrial,none,519436.6
1263,3,93,industrial,none,189956.37
1780,5,83,industrial,none,391853.62
2948,2,3,industrial,one,683723.09
1051,2,13,university,one,265944.96
1514,5,83,central,one,420317.91
2380,4,42,central,one,641000.77
2549,6,64,industrial,none,518215.54
3195,3,6,central,none,765839.47
1141,6,19,central,one,428704.8
3363,3,73,central,one,724746.93
3383,2,62,central,none,733985.6
2472,2,84,central,none,500512.29
947,2,79,industrial,none,101732.31
2248,3,75,riverside,none,476376.37
2965,2,6,riverside,two,738877.23
1656,4,13,riverside,two,481044.75
2130,5,73,university,none,506673.42
1281,5,82,riverside,one,335340.97
3049,1,86,university,none,609497.36
821,5,91,industrial,two,206542.28
3630,1,70,industrial,none,633248.7
2006,5,58,riverside,one,539741.13
3749,3,40,university,two,799483.89
1577,4,2,suburban,none,397296.0
2046,4,74,university,one,366809.72
1469,5,34,university,two,422594.06
3138,6,9,central,two,785966.07
2837,2,95,industrial,two,450628.13
3356,1,57,industrial,none,606272.47
2848,6,71,central,one,695839.15
3198,5,32,riverside,two,823241.4
1026,2,5,suburban,two,342163.65
1097,3,27,university,none,303825.71
2784,1,74,suburban,one,549608.12
1530,3,75,university,two,390964.68
932,6,80,central,none,246718.1
1032,6,46,university,none,252796.19
3170,4,39,riverside,none,709861.7
2995,3,0,suburban,two,670602.97
3887,3,65,industrial,none,706259.57
2478,5,9,industrial,two,520288.71
1276,1,7,industrial,two,262648.85
2974,6,44,central,none,692486.77
3549,3,65,suburban,none,692566.11
3672,1,51,central,two,801295.35
3330,2,0,riverside,none,763822.79
2477,6,91,central,two,594616.07
1542,6,2,riverside,one,469430.75
2140,6,43,central,none,510309.94
871,4,70,industrial,two,176852.68
2897,5,27,riverside,none,669867.91
1763,5,15,industrial,none,325287.14
1468,1,9,university,two,426309.38
2097,4,64,industrial,one,419131.39
1077,2,17,university,one,306126.41
2692,1,50,central,none,502770.0
1989,2,72,university,one,347686.12
1117,2,5,riverside,none,347227.38
2545,1,52,industrial,one,475252.44
4122,5,34,university,one,895600.39
2228,3,74,industrial,none,350747.35
1277,6,43,university,none,276151.58
2338,2,50,industrial,one,442908.59
1367,6,7,industrial,one,316748.75
2538,6,39,suburban,none,568110.34
2512,5,93,university,two,477360.62
2765,6,4,riverside,none,707977.93
4036,1,51,central,one,858090.64
3723,3,52,central,two,842941.67
3834,2,25,university,one,797357.09
2234,2,29,university,none,457003.09
1260,2,44,central,one,368436.01
753,1,12,riverside,none,249010.09
1974,1,47,riverside,two,446282.51
1514,2,24,industrial,none,281297.73
1479,2,48,university,two,372592.37
1461,4,13,suburban,two,423896.27
2920,5,27,suburban,none,669967.86
2190,3,33,riverside,one,536773.98
750,6,34,university,none,274072.53
3488,3,29,suburban,one,705363.58
984,6,27,riverside,one,391693.37
3733,4,23,suburban,none,804861.67
1889,1,6,industrial,one,398831.96
1765,1,61,riverside,one,371419.9
2350,3,73,riverside,one,412968.49
3899,3,13,riverside,two,882086.07
938,5,93,central,two,206380.52
3427,4,55,suburban,none,659481.89
4180,4,73,university,two,873711.77
2600,2,83,university,one,489899.95
3530,3,40,riverside,one,851798.18
3782,1,9,central,two,862921.61
3759,1,36,central,none,797530.58
681,6,32,industrial,two,196126.55
3179,1,48,riverside,one,640819.3
1567,6,6,suburban,one,450962.24
972,5,3,suburban,two,348280.77
1173,1,92,riverside,two,285121.07
3368,1,36,industrial,one,636229.9
4164,3,20,central,none,928781.38
2131,6,30,suburban,two,510983.43
3824,6,32,central,two,880417.3
4009,4,86,suburban,one,751351.6
3837,4,12,industrial,none,707243.53
3194,6,94,central,none,699404.18
3396,6,62,riverside,none,713634.59
1960,2,22,university,none,470199.35
1891,1,66,industrial,none,371935.71
4091,5,0,suburban,two,967548.77
2140,5,0,industrial,one,465229.9
1570,3,54,central,one,404595.78
1163,6,49,industrial,one,270877.49
3648,2,93,suburban,none,695615.59
1106,2,29,industrial,none,199536.3
2273,6,43,riverside,two,618715.49
4095,5,51,central,two,915125.07
2726,2,89,suburban,none,481432.57
3045,6,84,suburban,none,611088.98
953,1,89,suburban,one,187921.1
2434,5,20,riverside,two,604618.83
2357,4,60,suburban,two,477682.12
3618,6,9,central,one,817939.61
2197,5,30,central,one,537605.77
2819,6,63,riverside,two,687191.51
3276,3,39,university,two,693124.33
4008,2,36,riverside,none,877494.32
2252,5,17,central,one,576253.24
2355,6,46,suburban,one,561416.72
3715,3,70,riverside,none,714305.16
4135,5,37,industrial,none,814934.42
1122,6,7,university,two,372713.02
2842,6,69,suburban,one,631303.25
3881,5,45,industrial,none,675754.62
1841,5,32,riverside,two,445488.77
1948,1,5,university,none,489576.69
2726,3,36,riverside,two,697627.35
818,5,47,suburban,two,218867.51
3558,1,13,riverside,none,773012.44
1972,5,89,university,one,423024.14
4168,1,81,riverside,none,781030.09
2011,4,58,central,none,516256.83
1588,5,57,central,one,471071.24
1905,5,75,riverside,two,432593.43
2454,4,95,industrial,two,382805.38
761,6,35,suburban,two,213042.13
2044,2,16,university,two,477197.09
2495,5,50,riverside,one,545144.85
3077,2,83,industrial,two,552988.16
2488,1,70,university,none,467621.73
3938,6,14,university,two,885355.73
2690,3,11,industrial,two,579700.28
1334,6,73,riverside,one,290075.57
3370,5,68,central,one,658530.54
1610,2,49,industrial,one,229080.13
1890,1,91,riverside,two,419216.43
2922,2,52,riverside,none,626782.5
2772,2,90,riverside,one,610979.03
1191,3,55,industrial,two,241975.32
983,5,27,central,one,369488.67
3912,6,35,riverside,two,910104.87
3305,2,53,suburban,two,718443.36
1401,6,31,suburban,two,438832.62
4195,6,11,university,none,908405.64
1477,5,4,university,two,414042.51
2028,3,52,central,one,508964.24
1423,6,31,central,two,474697.39
1449,6,18,university,one,387112.1
1420,4,45,suburban,none,302860.1
966,4,88,riverside,one,270748.86
3455,5,82,central,two,764047.31
3721,3,24,riverside,two,866401.46
3134,4,29,university,two,664478.0
3491,4,18,riverside,two,793069.05
1109,1,0,university,none,299694.74
3539,5,45,suburban,one,661743.73
2507,3,27,central,two,571964.71
1312,1,64,industrial,none,157743.39
670,2,0,university,one,269948.1
2919,5,64,university,one,607971.97
2591,1,10,industrial,none,460304.46
1990,4,75,suburban,none,316017.1
4164,5,79,central,none,843035.32
3392,6,37,university,none,698028.17
4147,1,15,riverside,one,909316.18
1000,6,10,suburban,one,316538.3
2329,3,67,industrial,two,431991.87
3150,3,50,industrial,none,509253.56
3345,1,37,suburban,two,715297.56
931,5,29,industrial,none,221959.91
2466,1,9,riverside,two,633954.84
4078,1,23,riverside,none,839000.56
1871,4,25,suburban,two,405821.74
2219,5,28,university,none,538224.64
1998,4,47,riverside,two,416516.32
2750,3,90,university,one,581112.59
1039,6,60,industrial,none,183126.41
3108,3,12,central,none,748883.47
3471,5,28,suburban,one,643423.54
3497,3,40,riverside,none,759223.78
1968,6,71,university,none,419195.14
2325,3,83,industrial,one,423132.43
1982,6,72,industrial,two,366711.59
3458,4,26,central,one,852013.91
3404,1,44,riverside,one,700703.04
1185,5,10,central,two,415792.98
3109,1,7,university,one,729527.48
705,5,64,industrial,one,181179.33
3564,5,77,university,two,757152.08
3194,3,92,central,two,655933.87
3958,4,18,riverside,none,908659.7
3406,1,16,suburban,one,698747.06
1308,6,86,central,one,378971.41
3687,6,49,university,one,836862.66
753,6,78,central,one,260002.15
1300,4,36,suburban,none,363648.09
672,2,65,industrial,none,99626.3
3527,6,86,industrial,two,680951.62
3384,1,90,riverside,two,692800.23
3564,5,74,university,one,790776.81
3160,2,57,riverside,none,658737.92
729,6,38,university,none,237451.05
3812,1,65,university,two,745547.24
1980,2,34,industrial,two,398104.54
1906,2,52,riverside,one,430262.13
2189,6,88,university,none,429224.18
2345,3,61,industrial,two,447669.7
1881,5,85,central,none,440944.23
1345,4,23,riverside,none,426350.29
1665,4,82,central,two,428902.34
1940,1,69,university,one,417410.79
4010,1,93,suburban,one,759941.05
3153,4,25,university,two,689954.44
2714,2,83,industrial,none,523495.81
2182,6,89,suburban,two,477130.29
2802,4,1,suburban,none,648756.58
2579,4,77,university,two,560471.58
1013,1,24,suburban,none,257369.87
1298,6,94,university,one,349951.98
3953,2,57,suburban,one,760596.72
4143,2,61,university,one,852086.5
1069,3,11,central,none,306823.77
2974,4,84,industrial,two,546216.13
1667,2,42,riverside,two,440468.61
1143,5,95,university,one,239306.28
1304,6,81,riverside,one,404719.79
4093,4,7,industrial,none,814191.14
1770,2,4,university,none,403583.4
2117,6,27,suburban,none,522159.41
654,1,25,central,one,216665.09
789,3,0,suburban,two,277074.41
761,2,33,university,one,277210.64
2167,5,71,university,one,402507.92
2581,4,2,suburban,two,634074.92
3268,1,93,suburban,one,573706.56
3803,1,10,university,one,818969.71
1124,4,63,riverside,two,298561.01
654,1,25,suburban,two,222383.2
1473,3,79,suburban,one,367347.57
3426,1,91,suburban,one,667475.44
1881,4,21,riverside,none,551212.79
1859,3,13,riverside,one,475963.09
3677,4,63,industrial,two,720366.77
1060,3,62,riverside,one,286452.53
2661,4,65,industrial,one,469680.91
2619,6,37,central,none,651052.72
3901,2,52,industrial,none,758402.4
3073,4,0,industrial,none,598803.42
963,4,50,industrial,one,188584.48
1766,5,52,central,one,478938.84
3239,2,53,riverside,none,665342.71
1427,3,64,riverside,two,329718.96
3893,5,48,suburban,none,759867.63
3311,3,23,industrial,two,684901.49
3808,3,40,riverside,two,854227.79
2599,1,95,central,one,574908.26
895,1,55,university,two,307091.9
3769,3,9,suburban,two,851224.63
3682,6,71,industrial,two,695831.44
2024,2,6,central,none,528648.36
919,5,23,suburban,one,296611.2
1811,3,39,suburban,none,439299.11
932,2,72,suburban,none,157203.48
1529,3,40,university,two,373534.04
2092,1,18,industrial,none,471353.32
845,1,54,central,none,248625.17
4030,5,76,central,none,821857.26
1536,1,62,riverside,one,360111.02
2437,4,13,university,two,549106.88
1386,2,91,riverside,none,247204.38
2619,1,43,central,none,580247.37
2771,5,71,university,none,613846.16
2139,1,37,industrial,none,355801.0
651,3,72,suburban,two,162817.36
1510,4,92,university,one,358508.58
3141,5,59,industrial,two,614384.18
2528,4,17,university,none,596457.18
2066,5,19,suburban,none,548225.29
1293,1,78,industrial,one,177560.29
3333,5,13,central,one,812778.55
2916,2,59,industrial,one,546220.71
1048,6,77,industrial,one,217248.82
2633,6,9,industrial,two,559949.61
2971,6,46,suburban,none,624174.33
3390,1,94,industrial,one,538788.17
3302,4,27,suburban,one,688031.3
4050,5,36,industrial,one,721127.84
2495,2,0,suburban,one,516084.67
2988,3,79,university,one,569471.77
2443,4,14,central,none,626628.17
1176,6,80,central,none,296181.45
901,4,91,central,none,206188.61
3967,6,22,industrial,one,805494.82
2215,4,26,university,one,562396.12
4014,4,37,university,two,914372.09
3016,5,84,central,two,687831.61
1505,4,19,suburban,none,369414.82
1256,1,95,university,one,194493.37
3408,4,59,university,one,779049.28
2157,2,10,riverside,two,511609.22
1015,3,14,industrial,two,258003.03
756,6,88,central,none,290825.66
3402,4,67,central,two,725180.16
3676,3,7,riverside,one,858168.79
2342,4,28,central,two,640719.72
2199,3,86,industrial,one,319571.39
3480,5,57,riverside,one,786379.42
1162,6,68,riverside,one,331134.07
3953,6,88,suburban,two,772869.42
1196,5,63,university,one,251381.07
1396,3,17,suburban,two,343889.25
1947,6,49,central,two,515646.78
1722,1,45,industrial,none,267034.47
1301,1,58,central,one,321024.75
2938,5,21,central,two,711418.25
809,1,31,central,one,283980.93
1249,3,16,central,two,386832.8
2070,5,73,university,none,491798.23
2207,1,67,riverside,one,393209.73
1524,4,46,university,one,397133.9
4094,3,16,university,one,852934.56
3118,5,88,riverside,none,655364.03
1428,4,66,industrial,one,197758.38
4194,4,14,suburban,none,839353.22
2956,4,45,suburban,one,617799.76
4151,5,17,central,none,883761.18
1110,5,20,university,one,314807.74
3833,6,69,suburban,one,737000.87
1346,6,28,university,one,381601.81
2640,5,27,central,two,667915.2
3714,4,42,riverside,one,820572.37
1019,6,5,riverside,one,424409.56
2636,1,46,university,two,636850.42
2074,5,69,suburban,one,493839.18
2948,3,28,suburban,one,617615.52
3437,1,77,riverside,none,686777.75
3472,6,60,riverside,none,751614.75
1827,2,54,suburban,none,416953.59
1061,5,58,university,one,222971.96
2909,4,66,university,one,586876.36
1131,5,10,industrial,none,275478.38
741,4,44,riverside,none,256941.96
2288,3,29,central,none,528175.42
3512,4,20,industrial,one,703558.4
926,2,50,suburban,none,283556.32
927,4,44,riverside,one,289564.83
3846,6,11,industrial,one,825648.37
3922,4,58,riverside,none,793215.32
2573,1,51,industrial,one,475895.62
1419,2,21,riverside,two,424046.36
3784,2,16,suburban,one,747268.0
787,4,40,riverside,one,330945.49
3699,1,40,riverside,none,822505.48
4039,1,50,university,two,741219.02
1594,3,36,university,none,312148.48
2235,4,69,suburban,two,461166.46
1219,5,15,suburban,none,334972.44
2785,3,3,central,two,713976.59
873,1,77,central,two,196580.4
2179,5,67,industrial,none,438401.21
3461,3,41,industrial,two,638785.26
2268,4,82,central,two,502363.5
1831,6,13,university,none,513845.85
2513,4,16,industrial,one,521646.5
696,5,5,riverside,none,368251.54
3122,2,26,riverside,two,733185.32
1004,2,86,riverside,two,224597.86
2905,4,16,riverside,two,737786.84
938,1,35,industrial,none,166461.99
1174,1,86,industrial,one,203223.55
664,2,54,central,two,188182.73
3220,6,45,university,two,797765.65
1843,6,67,suburban,two,423503.1
1878,3,82,riverside,none,418852.04
1100,4,18,suburban,one,306233.98
3851,4,79,central,one,784485.08
2787,6,82,central,two,608157.08
1583,4,58,suburban,one,292777.99
860,4,72,industrial,none,174695.25
1838,5,44,riverside,one,469659.09
1229,4,6,riverside,one,363848.69
1945,1,10,suburban,none,439812.83
668,3,53,university,two,202849.8
2722,1,69,industrial,one,439230.62
3216,1,92,suburban,none,558782.34
1894,6,77,central,none,432465.7
3674,3,93,suburban,one,638137.17
1248,2,2,central,one,383275.86
2320,1,40,industrial,two,451177.51
1324,1,73,riverside,one,321363.93
2663,3,8,industrial,two,517777.17
2385,3,84,suburban,one,472052.93
3181,6,64,university,two,693011.03
2346,6,26,suburban,none,470768.04
3527,4,95,central,none,697893.21
774,1,8,suburban,two,218371.63
4058,6,15,riverside,one,940981.87
3033,4,75,university,two,648417.49
2844,1,79,riverside,none,513729.06
1012,3,39,industrial,one,251343.5
2195,5,47,industrial,two,433022.44
3359,4,4,suburban,none,759464.46
2048,5,86,university,one,458020.51
1535,4,49,university,one,397725.3
2834,5,0,central,none,695159.01
1799,4,53,suburban,one,433685.03
744,6,59,suburban,two,182675.64
2583,1,85,university,none,484963.15
2585,6,61,industrial,two,440937.06
1195,3,58,riverside,two,333498.73
1401,3,5,university,none,296728.35
2773,5,85,central,two,578840.66
4089,2,41,riverside,one,878552.25
2904,6,17,riverside,one,724155.02
1427,2,30,riverside,one,439372.1
3767,2,40,central,one,795284.55
2951,6,32,industrial,none,612534.83
3900,5,22,university,one,840841.74
4120,6,71,suburban,none,797240.28
3879,5,15,suburban,two,897755.57
3146,6,6,riverside,one,795228.97
704,4,73,central,none,223310.13
2303,3,83,central,none,492349.97
3178,3,87,industrial,none,562438.88
3501,4,61,university,none,675017.87
1132,2,65,central,one,331534.39
1791,6,85,riverside,none,420001.74
2698,2,8,riverside,two,671995.96
2112,4,13,central,two,614914.1
2879,4,53,industrial,none,578899.82
3781,6,29,suburban,none,796401.16
706,3,4,university,one,261674.76
3441,3,10,industrial,one,772200.82
1116,4,10,university,two,361921.06
2562,4,5,university,one,603135.4
2099,1,84,central,none,396664.87
3661,3,62,university,none,730417.19
2509,5,7,industrial,one,541961.84
1957,5,85,central,one,484459.39
1341,1,84,riverside,two,303340.37
1307,3,54,industrial,none,232388.06
2677,6,74,riverside,one,545460.75
1508,4,38,industrial,one,307106.16
1342,4,41,suburban,none,323482.21
2707,2,15,central,two,680214.39
1148,2,27,riverside,two,375780.42
1265,3,30,central,none,429195.5
2111,6,7,university,two,525757.72
3662,3,1,central,none,811589.45
3613,4,23,central,one,812982.4
1662,3,36,industrial,none,251278.37
1507,6,67,riverside,one,379905.28
1343,3,54,suburban,one,209959.23
2961,2,72,riverside,none,595436.98
3331,2,18,central,one,795118.97
1153,5,25,suburban,one,298966.12
999,4,80,central,none,249543.11
1191,3,1,university,one,355245.0
3918,4,76,riverside,none,759596.97
4013,1,73,riverside,two,800967.71
3249,6,52,central,one,741651.59
4006,3,73,university,one,832701.87
946,5,66,riverside,none,242883.82
1485,6,18,university,none,379534.42
3759,2,37,industrial,one,762994.16
981,5,60,riverside,one,292869.29
3397,3,80,university,one,721691.2
762,2,82,central,two,189398.69
1513,3,49,industrial,none,228798.6
4130,1,47,riverside,two,880927.02
2845,2,80,riverside,two,588511.96
3462,1,91,university,none,649301.82
4041,3,75,industrial,none,688490.25
1246,2,53,university,one,332157.56
3524,5,85,suburban,one,677070.32
2458,2,60,industrial,one,513222.28
1887,6,21,central,one,535732.58
3405,4,30,central,two,829903.75
2572,2,43,central,one,607724.15
1311,5,11,university,one,344313.66
1832,6,42,central,none,452083.62
3457,1,50,suburban,none,674011.87
793,4,47,university,one,176262.24
2558,5,57,suburban,two,553699.08
4092,1,48,industrial,none,777112.54
2889,5,47,suburban,two,593021.65
4086,2,27,riverside,none,879960.23
3890,1,91,university,none,746534.95
3553,6,65,riverside,two,768594.45
1859,5,40,suburban,none,430146.75
930,6,3,university,none,296971.37
3679,6,52,industrial,none,625753.97
1659,1,16,central,none,451650.07
715,5,14,riverside,two,372376.45
4186,3,95,suburban,two,785395.86
3183,5,65,industrial,none,581393.55
1588,6,41,industrial,two,355289.21
3922,4,83,riverside,none,784334.5
2947,6,26,industrial,two,590735.81
2681,1,94,suburban,two,430567.33
1367,3,38,university,two,345862.01
3935,5,49,industrial,none,752640.08
3235,2,69,industrial,one,615143.37
3216,6,95,suburban,none,580020.96
4159,4,84,central,two,866724.38
3341,5,24,industrial,one,686986.61
2222,2,1,riverside,one,599469.4
3882,6,46,industrial,two,772583.18
1774,2,48,riverside,two,462643.61
2434,1,32,suburban,two,568665.5
3787,3,92,industrial,one,601595.06
3619,6,9,university,two,822404.89
2995,6,7,central,one,753718.27
3501,2,42,riverside,two,784884.23
2284,3,92,central,one,477911.96
3590,6,39,university,one,781613.95
2106,2,49,university,one,490754.61
3669,5,89,suburban,one,745837.5
1344,2,61,suburban,one,345322.1
3756,3,25,university,none,777161.36
3091,3,29,university,none,739189.76
4161,6,74,industrial,one,802386.68
3715,6,35,central,one,863151.81
2362,5,11,riverside,none,625240.43
1837,5,33,university,two,430188.47
1145,3,7,industrial,one,274149.94
3399,3,58,central,two,768316.63
3051,4,56,suburban,one,615629.89
3048,5,31,central,two,812320.23
786,2,7,suburban,one,154363.79
3776,1,4,central,one,808216.23
2231,5,49,suburban,two,494909.03
3664,5,33,industrial,one,719182.6
3404,4,78,central,one,778967.5
2469,5,92,university,none,503723.56
2886,3,59,industrial,one,545224.42
3541,2,7,university,one,681473.16
1290,4,52,industrial,two,243143.96
4064,6,84,industrial,two,765601.06
1672,1,8,suburban,two,485073.43
3216,4,93,riverside,none,669087.14
1596,2,27,riverside,none,417410.66
2754,1,13,riverside,two,638038.77
2030,1,0,industrial,none,388749.95
3692,2,30,riverside,none,728976.2
3388,4,5,university,one,775397.69
2065,4,80,central,two,466383.76
4107,6,7,industrial,one,914604.88
893,5,26,central,none,343620.14
1258,3,67,riverside,one,388084.67
4158,4,70,university,none,837346.77
1896,2,2,industrial,two,413132.65
2603,3,87,riverside,none,593795.67
2016,4,93,riverside,two,421295.43
3366,6,44,university,one,681500.37
3280,3,54,suburban,one,617807.36
3525,2,86,university,one,679718.92
3817,6,62,industrial,one,771118.5
1536,2,33,university,one,384149.53
2548,4,38,industrial,one,448863.83
2011,5,43,industrial,two,414522.76
3359,6,41,central,two,798343.18
973,2,61,riverside,none,211684.11
3342,1,31,university,none,653486.5
3268,2,84,suburban,two,635121.2
3984,6,8,university,none,890507.04
2566,4,51,central,none,543478.55
1672,2,38,university,none,387040.69
992,6,21,central,two,376440.64
3468,3,33,suburban,none,717474.43
2873,4,15,riverside,one,668040.21
1870,5,65,university,two,497555.29
2132,6,3,riverside,two,543894.15
2732,6,74,industrial,two,486495.22
1766,3,38,university,one,442951.62
1568,3,45,central,one,452828.09
1189,3,21,riverside,two,349533.91
4067,2,30,university,one,842317.07
3986,2,87,riverside,one,787590.05
791,4,90,riverside,none,190209.67
3663,1,17,suburban,none,713680.2
2185,4,73,university,two,476396.5
2864,6,86,riverside,two,612257.89
2050,3,23,riverside,one,503655.81
2810,2,68,riverside,one,570039.45
3904,4,73,industrial,none,701634.28
3331,5,56,industrial,one,613446.22
2479,1,95,riverside,none,417011.11
3304,5,19,industrial,two,671495.77
2539,5,90,suburban,none,454034.49
4091,3,25,industrial,two,825557.74
3121,6,2,central,none,766658.35
2475,1,76,university,two,545128.16
1539,6,48,central,two,416740.11
889,3,17,suburban,one,243017.13
1287,5,42,central,none,463744.43
1047,2,2,industrial,one,278910.26
1431,3,80,central,one,320512.04
2619,6,8,riverside,two,672148.76
3884,1,90,suburban,one,690802.7
3137,4,30,riverside,two,673945.94
3528,2,45,central,two,843943.97
4052,4,39,riverside,one,869651.61
1373,2,90,university,two,241558.96
3800,5,39,university,two,879448.88
1126,3,27,riverside,one,275776.49
3831,5,37,university,none,785578.02
1857,1,1,industrial,one,401686.82
750,5,15,suburban,two,214840.83
1031,5,26,industrial,one,268761.96
3599,3,29,university,two,766440.94
1796,5,94,central,one,445270.01
2025,5,92,riverside,none,459281.34
1391,5,89,university,one,335857.44
2965,2,53,suburban,one,577537.89
1839,1,90,industrial,two,312535.31
3809,4,7,central,one,890757.66
3681,2,68,university,one,736764.7
1575,4,15,central,one,458188.99
3880,3,56,riverside,one,751745.99
1788,5,58,industrial,none,332988.61
3347,3,15,riverside,one,681647.26
3673,3,5,suburban,two,775322.03
3797,1,2,central,one,836650.85
2683,3,35,suburban,none,534789.6
3025,6,22,riverside,none,746857.24
2413,5,11,university,none,570902.1
3741,6,45,university,one,760431.6
2544,5,63,industrial,none,490855.42
1684,3,65,riverside,one,429566.24
3866,5,8,suburban,one,831659.1
1213,4,69,university,none,341250.65
4141,6,75,industrial,two,741583.45
2927,3,21,central,two,680495.32
1477,1,28,university,one,391836.49
676,4,23,riverside,two,261336.44
3690,3,16,suburban,none,755289.95
2657,2,53,industrial,two,456591.53
1205,1,1,central,none,372161.0
3910,2,59,university,none,767453.18
3464,1,9,suburban,one,712406.07
722,4,94,central,two,266411.62
2508,6,74,riverside,none,525937.43
2383,5,6,university,two,561306.15
2406,3,83,central,none,418325.85
783,6,61,riverside,one,240941.75
