amount,hour,country_type,device_age_days,txn_velocity_24h,fraud
140.96,11,local,410,9,no
66.59,7,local,202,7,no
74.28,4,local,348,10,no
121.71,4,local,798,12,no
33.93,4,local,77,10,no
42.59,17,local,757,11,no
67.51,20,local,59,11,no
73.07,12,local,201,10,no
63.54,6,local,885,12,no
47.78,7,local,44,12,no
47.59,0,local,517,4,no
239.77,10,local,897,10,no
113.47,4,foreign,96,3,no
136.33,13,local,582,12,no
50.36,12,foreign,263,2,no
97.25,14,local,659,9,no
128.44,22,local,825,9,no
14.82,21,local,702,11,no
70.25,22,foreign,616,12,no
45.55,18,local,704,2,no
128.3,2,local,385,12,no
216.03,20,foreign,546,9,no
13.73,0,local,373,2,no
110.6,8,local,242,3,no
8.99,7,local,189,10,no
24.9,22,local,803,1,no
163.93,12,local,609,7,no
14.46,10,local,53,1,no
120.39,17,foreign,213,10,no
20.51,6,local,352,10,no
80.74,9,foreign,846,2,no
100.2,2,local,257,5,no
7.54,17,local,655,3,no
162.67,10,foreign,53,9,no
97.6,4,local,561,4,no
37.58,9,local,125,10,no
53.23,0,local,306,8,no
71.04,5,local,169,9,no
113.11,17,foreign,595,7,no
120.22,11,local,465,10,no
52.04,18,local,80,2,no
78.64,23,foreign,463,5,no
112.6,23,local,490,11,no
176.8,22,foreign,357,2,no
33.1,15,foreign,377,4,no
76.76,14,local,167,5,no
72.97,16,foreign,651,9,no
45.42,10,local,399,3,no
177.86,12,local,679,4,no
7.87,3,local,291,5,no
11.69,21,local,415,12,no
105.64,10,local,774,7,no
54.01,18,local,841,6,no
74.91,4,foreign,230,12,no
144.54,7,local,848,11,no
143.63,22,local,624,9,no
29.63,14,local,501,7,no
159.14,8,local,618,12,no
27.85,2,local,133,1,no
34.11,16,local,632,2,no
140.52,9,local,886,1,no
5.79,17,foreign,627,6,no
23.88,2,foreign,247,12,no
15.62,20,local,481,11,no
50.24,22,local,470,7,no
45.18,15,foreign,461,2,no
52.9,2,local,816,3,no
8.75,13,local,450,1,no
46.34,17,foreign,314,10,no
296.76,23,local,425,7,no
42.32,10,foreign,720,2,no
27.0,22,local,230,11,no
54.86,16,local,451,10,no
43.79,3,local,362,9,no
17.2,3,local,142,10,no
102.25,22,local,851,1,no
15.37,8,local,88,9,no
53.49,5,local,692,6,no
173.49,18,foreign,452,7,no
236.18,22,local,32,9,no
129.87,7,foreign,49,1,no
177.83,19,foreign,554,2,no
22.34,19,local,328,4,no
48.84,3,local,600,10,no
5.0,18,local,521,6,no
51.31,20,local,390,9,no
244.29,20,foreign,61,8,no
69.93,20,foreign,451,2,no
138.02,6,foreign,459,10,no
39.66,14,local,466,6,no
164.93,0,local,521,6,no
74.32,0,local,257,4,no
72.5,9,local,182,11,no
239.11,0,foreign,540,3,no
159.34,5,local,827,5,no
66.98,17,local,714,10,no
20.07,11,foreign,854,3,no
83.16,0,foreign,15,3,no
56.75,18,foreign,671,6,no
91.9,20,local,812,8,no
146.43,14,local,264,11,no
150.07,14,local,680,1,no
177.29,15,foreign,300,2,no
140.36,10,local,217,12,no
37.01,3,local,8,3,no
15.58,23,local,389,3,no
78.27,4,local,330,10,no
19.48,21,foreign,13,8,no
43.78,21,local,434,5,no
56.37,7,local,410,3,no
69.27,0,local,554,11,no
72.42,19,local,710,7,no
104.33,1,local,83,3,no
22.41,17,foreign,221,10,no
60.65,5,local,867,3,no
14.04,22,local,451,9,no
24.9,22,local,659,12,no
85.74,8,local,738,10,no
23.56,0,local,776,12,no
8.02,17,foreign,639,9,no
5.25,23,foreign,682,4,no
7.26,8,local,48,11,no
14.17,13,local,608,1,no
17.55,23,local,796,11,no
121.73,18,local,473,10,no
206.76,14,foreign,818,3,no
74.01,8,local,409,1,no
18.05,23,local,376,7,no
34.78,9,local,129,1,no
18.74,2,local,256,8,no
41.31,18,local,877,9,no
86.87,17,local,326,3,no
27.2,4,local,304,5,no
47.76,11,local,860,8,no
139.95,4,local,775,6,no
77.79,20,local,393,11,no
30.75,7,local,406,10,no
36.33,22,local,768,1,no
15.06,7,local,708,5,no
33.76,15,local,570,12,no
178.3,13,local,744,2,no
29.32,12,foreign,536,12,no
64.01,17,local,316,10,no
151.91,22,foreign,722,12,no
72.24,17,local,581,12,no
150.09,4,local,474,4,no
21.67,13,foreign,7,9,no
127.24,17,local,115,11,no
77.94,1,local,396,12,no
22.99,2,local,200,3,no
94.46,21,foreign,289,2,no
52.26,7,local,317,7,no
87.02,9,foreign,189,5,no
127.82,16,foreign,190,3,no
27.91,21,local,387,9,no
46.95,12,local,56,2,no
6.0,23,local,467,10,no
92.26,18,local,455,12,no
116.91,14,local,828,12,no
179.61,6,local,400,4,no
70.44,18,local,265,11,no
17.19,1,local,255,1,no
18.12,21,foreign,762,2,no
311.19,14,local,567,4,no
153.88,15,foreign,644,5,no
17.94,22,local,839,9,no
8.35,0,local,340,5,no
5.19,0,local,659,12,no
36.84,16,foreign,483,9,no
63.12,14,local,456,3,no
53.4,16,local,121,11,no
20.36,0,local,557,12,no
65.99,9,foreign,155,6,no
6.31,23,local,344,6,no
23.09,9,foreign,468,10,no
51.28,7,local,308,4,no
38.96,19,local,531,10,no
47.76,6,local,158,2,no
93.55,17,local,466,10,no
54.05,10,local,345,1,no
29.04,10,local,876,9,no
27.56,11,local,50,8,no
38.97,19,local,131,3,no
40.99,11,local,375,11,no
182.43,8,local,716,3,no
71.66,9,local,244,9,no
8.45,7,foreign,35,8,no
114.0,19,foreign,748,9,no
125.96,1,local,674,12,no
68.53,17,local,578,2,no
41.35,18,local,453,8,no
22.36,16,local,575,1,no
64.64,23,local,591,6,no
132.19,15,local,742,9,no
24.28,6,foreign,377,7,no
99.24,23,local,723,5,no
16.47,12,local,797,6,no
38.73,18,foreign,807,6,no
99.55,20,local,690,1,no
17.47,9,local,16,9,no
115.3,22,local,852,5,no
156.06,5,local,474,1,no
57.82,15,foreign,15,9,no
389.29,7,local,399,12,no
45.06,4,local,15,12,no
192.43,22,local,139,10,no
219.94,12,local,75,11,no
313.22,10,local,563,7,no
25.35,0,local,790,8,no
13.63,23,foreign,63,4,no
24.86,19,foreign,587,1,no
386.02,2,local,261,11,no
243.52,5,local,538,5,no
208.26,2,foreign,515,5,no
22.5,7,local,787,9,no
6.01,7,local,502,2,no
43.58,18,local,869,5,no
25.27,23,local,580,3,no
80.27,9,local,813,12,no
72.11,23,local,16,11,no
25.06,2,local,684,11,no
207.49,13,foreign,883,8,no
131.46,1,foreign,241,1,no
147.86,11,local,229,12,no
18.0,1,foreign,527,5,no
26.41,9,foreign,284,12,no
108.92,10,local,776,3,no
134.93,10,local,668,6,no
47.45,5,local,725,1,no
31.78,22,local,358,3,no
9.7,18,local,121,2,no
33.5,18,local,439,12,no
218.91,6,foreign,566,9,no
30.55,4,local,604,9,no
19.78,5,local,699,2,no
8.02,21,local,275,7,no
6.23,21,local,800,2,no
97.79,23,local,461,7,no
235.43,8,local,54,10,no
150.36,3,foreign,522,11,no
103.14,7,foreign,368,6,no
216.02,3,local,686,11,no
336.11,6,local,639,10,no
39.29,16,foreign,217,12,no
182.16,20,local,173,11,no
7.14,17,local,739,12,no
521.27,0,local,370,2,no
374.53,4,local,138,3,no
111.67,11,local,832,9,no
135.63,7,foreign,337,1,no
23.5,1,local,494,3,no
205.68,6,foreign,552,8,no
57.95,17,local,99,2,no
271.9,19,foreign,429,2,no
187.67,6,local,621,11,no
48.1,14,local,730,11,no
44.64,15,local,111,3,no
33.46,14,foreign,606,1,no
95.76,6,local,369,12,no
42.5,15,local,400,11,no
42.02,11,foreign,567,8,no
112.29,19,local,299,11,no
15.27,9,foreign,747,2,no
74.67,14,foreign,21,6,no
50.51,8,local,567,9,no
85.16,22,local,364,9,no
9.25,17,local,735,6,no
93.23,13,local,600,11,no
130.27,15,local,411,1,no
70.36,23,local,510,1,no
35.57,22,foreign,231,1,no
41.88,16,local,307,1,no
99.51,22,foreign,792,2,no
27.56,1,local,814,2,no
203.86,5,foreign,328,11,no
115.4,7,foreign,863,8,no
147.37,1,local,134,11,no
122.9,12,local,382,5,no
87.35,16,local,424,2,no
64.21,2,foreign,3,2,yes
645.63,10,local,613,2,no
68.46,21,local,496,10,no
7.52,6,local,674,9,no
22.42,9,local,383,7,no
80.69,11,local,466,4,no
19.94,18,local,354,6,no
199.22,1,local,152,9,no
75.05,3,local,57,1,no
32.83,6,local,230,9,no
82.46,22,foreign,589,4,no
26.43,19,foreign,841,3,no
169.66,20,local,339,8,no
62.9,9,local,894,8,no
24.32,13,foreign,237,8,no
14.22,16,local,879,2,no
6.16,5,local,356,8,no
69.76,14,local,678,1,no
73.87,3,local,146,12,no
49.16,23,local,167,2,no
129.72,3,local,211,9,no
73.54,1,foreign,777,5,no
173.6,16,local,190,3,no
134.7,7,local,609,3,no
100.65,21,foreign,420,10,no
244.69,13,foreign,834,3,no
225.03,0,foreign,107,4,no
39.2,7,local,187,8,no
6.48,17,foreign,561,6,no
46.37,8,local,361,3,no
29.02,22,local,753,10,no
188.2,21,local,427,6,no
41.72,22,local,8,2,no
42.03,13,local,385,12,no
22.37,13,local,707,12,no
160.61,0,local,879,11,no
52.21,2,local,25,7,no
31.28,11,local,54,12,no
136.42,8,local,701,7,no
111.95,13,local,239,8,no
58.21,18,foreign,322,8,no
83.98,1,local,632,5,no
38.93,11,foreign,132,8,no
64.03,6,foreign,51,12,no
89.21,15,foreign,603,3,no
27.3,4,local,114,2,no
136.23,22,local,20,8,no
53.2,12,local,571,8,no
75.03,21,foreign,816,7,no
38.53,16,local,575,8,no
6.39,16,local,138,3,no
92.59,8,local,786,3,no
250.74,15,foreign,652,2,no
192.72,13,foreign,284,6,no
31.5,0,foreign,820,6,no
115.59,5,local,74,7,no
75.55,15,foreign,250,4,no
50.53,10,local,765,7,no
26.52,8,local,784,2,no
33.45,8,local,643,6,no
7.88,4,foreign,166,7,no
22.71,18,foreign,555,8,no
34.06,23,local,57,6,no
147.75,3,local,45,10,no
37.48,16,foreign,831,12,no
105.74,22,local,19,1,no
31.12,14,foreign,718,12,no
74.98,1,local,44,9,no
57.5,12,local,886,8,no
115.11,3,local,895,5,no
298.71,6,local,115,11,no
66.62,10,local,666,12,no
39.36,10,local,752,11,no
26.51,9,local,817,5,no
7.0,9,local,310,7,no
48.85,23,local,538,5,no
147.5,23,local,336,1,no
87.83,3,foreign,371,12,no
93.47,18,local,599,6,no
114.43,6,local,739,6,no
57.55,22,local,709,1,no
83.47,3,local,645,6,no
131.89,2,foreign,810,4,no
95.76,5,local,738,6,no
68.54,20,local,559,9,no
105.89,11,local,391,8,no
172.03,15,local,182,5,no
37.77,12,local,615,3,no
5.58,19,local,440,7,no
79.36,19,local,672,9,no
123.35,4,local,731,8,no
15.71,17,local,696,2,no
185.49,1,foreign,98,10,no
289.22,14,local,395,2,no
26.72,5,local,152,9,no
61.67,23,local,3,12,no
138.36,8,local,65,7,no
13.09,6,foreign,867,1,no
119.56,12,foreign,76,11,no
135.21,7,local,295,2,no
16.22,1,local,605,12,no
83.05,1,foreign,181,3,no
112.01,7,local,485,6,no
197.89,1,local,9,7,no
9.43,18,local,877,2,no
22.43,17,local,436,10,no
61.16,5,local,674,10,no
256.15,20,foreign,66,9,no
104.14,6,local,3,2,no
226.21,13,local,857,3,no
71.87,4,foreign,242,2,no
68.19,17,foreign,580,6,no
14.63,3,local,872,5,no
182.43,9,local,235,4,no
112.03,5,local,205,5,no
13.18,15,local,242,3,no
21.39,2,local,731,12,no
5.07,22,local,550,6,no
116.47,23,foreign,66,10,no
30.07,15,foreign,13,8,no
21.39,21,foreign,82,4,no
21.4,5,local,449,6,no
114.29,11,local,144,9,no
44.97,11,foreign,358,4,no
137.3,18,foreign,616,6,no
60.24,3,local,633,8,no
61.55,0,local,471,4,no
42.98,1,local,341,12,no
38.84,8,local,271,4,no
10.34,0,local,485,6,no
91.63,3,local,752,10,no
287.2,6,local,620,12,no
65.83,10,local,769,8,no
66.99,21,local,636,2,no
5.11,21,local,278,1,no
120.82,6,local,524,7,no
74.04,16,local,713,2,no
6.2,0,local,688,4,no
97.77,13,foreign,482,11,no
23.04,17,local,612,12,no
76.5,12,local,846,11,no
103.56,4,foreign,823,2,no
61.26,2,local,650,10,no
232.36,15,local,652,2,no
10.85,9,foreign,594,2,no
94.51,4,foreign,196,11,no
19.63,22,foreign,562,3,no
64.45,19,foreign,229,7,no
7.59,4,local,280,10,no
121.0,10,local,428,12,no
30.65,5,foreign,204,8,no
46.91,23,foreign,727,8,no
31.05,20,local,160,5,no
87.9,22,local,686,5,no
104.52,19,local,349,6,no
108.82,3,local,386,4,no
83.64,19,local,199,4,no
104.42,2,foreign,789,12,yes
86.62,6,local,274,1,no
122.85,0,local,481,2,no
80.97,4,local,631,11,no
29.37,1,local,367,4,no
59.56,8,local,688,5,no
266.25,7,local,740,5,no
13.3,10,local,48,4,no
35.52,10,local,192,4,no
360.47,1,local,717,1,no
112.04,2,local,109,8,no
112.37,20,local,612,7,no
19.82,9,local,299,1,no
11.55,4,local,318,2,no
159.33,10,local,495,6,no
7.09,20,local,605,8,no
170.88,4,local,577,1,no
14.03,5,local,280,10,no
5.69,1,local,353,1,no
62.08,6,local,684,11,no
21.23,7,foreign,717,8,no
150.39,4,local,863,7,no
28.85,21,foreign,302,6,no
25.05,19,foreign,710,11,no
27.93,20,local,758,7,no
141.91,14,local,747,8,no
15.41,18,local,382,12,no
63.86,9,local,766,2,no
27.89,8,local,383,11,no
15.92,21,local,413,5,no
79.95,7,local,872,2,no
72.94,19,local,187,5,no
43.08,18,local,348,9,no
187.26,7,local,384,1,no
40.78,12,local,606,1,no
155.93,17,local,614,4,no
79.98,7,foreign,211,5,no
30.9,9,foreign,265,4,no
143.68,22,local,649,10,no
20.36,20,local,753,8,no
11.19,10,local,873,12,no
131.8,23,foreign,181,1,no
35.33,3,foreign,131,10,yes
60.03,4,local,597,4,no
62.62,20,local,434,9,no
98.29,23,local,782,8,no
10.33,19,foreign,530,4,no
15.76,23,foreign,199,11,no
61.48,10,local,19,6,no
21.14,16,local,162,11,no
45.32,14,foreign,403,1,no
188.37,1,local,637,10,no
33.37,22,local,896,11,no
106.89,8,local,385,7,no
98.78,7,foreign,525,7,no
25.69,1,foreign,248,9,no
6.58,8,local,755,11,no
436.23,16,local,617,6,no
166.68,15,foreign,268,12,no
279.07,18,foreign,426,11,no
80.82,6,local,599,10,no
46.01,17,local,118,11,no
36.55,19,local,382,4,no
221.36,17,local,116,11,no
20.71,1,local,744,3,no
15.8,17,foreign,541,11,no
29.83,20,local,855,10,no
73.63,16,local,514,11,no
35.09,16,local,897,6,no
66.46,12,local,225,11,no
9.65,3,local,758,6,no
137.29,5,local,820,12,no
7.02,19,local,238,8,no
28.72,6,local,98,10,no
13.79,17,foreign,261,12,no
122.19,17,foreign,614,7,no
17.56,16,local,474,1,no
48.52,22,local,886,3,no
18.78,18,local,295,5,no
16.68,9,foreign,330,5,no
192.26,9,local,700,7,no
88.45,3,local,333,7,no
49.91,22,foreign,864,2,no
135.19,7,local,589,7,no
39.22,1,local,551,10,no
39.78,15,foreign,443,11,no
52.55,16,local,759,10,no
126.82,2,foreign,62,1,no
16.18,14,local,535,4,no
57.84,13,local,653,5,no
42.19,14,foreign,70,10,no
101.42,0,local,475,11,no
85.35,15,local,755,2,no
326.43,17,local,667,1,no
35.56,8,local,127,10,no
38.46,10,local,736,5,no
25.97,8,local,307,2,no
77.94,1,local,839,8,no
20.79,16,local,534,8,no
270.04,3,foreign,99,1,no
82.25,23,local,650,5,no
114.97,5,local,104,8,no
111.32,2,foreign,860,7,no
28.5,2,local,430,4,no
59.71,5,local,684,5,no
25.32,5,local,280,6,no
55.62,9,foreign,872,9,no
90.35,14,local,827,5,no
30.49,4,local,655,7,no
161.64,23,local,290,3,no
42.65,2,local,333,4,no
45.31,10,local,448,10,no
126.84,3,local,741,5,no
96.53,3,local,217,12,no
261.71,14,local,17,12,yes
71.18,9,local,773,1,no
9.64,17,local,635,5,no
21.34,3,local,754,6,no
96.22,2,foreign,778,12,no
217.55,6,foreign,711,5,no
135.16,13,foreign,184,10,no
58.62,3,local,427,12,no
87.09,4,local,103,11,no
31.47,10,local,850,11,no
148.49,11,local,894,5,no
109.31,14,local,75,3,no
236.49,8,local,522,2,no
214.21,13,local,626,10,no
67.73,14,local,105,3,no
46.43,3,local,77,1,no
59.92,6,local,888,5,no
139.87,15,foreign,297,1,no
76.73,3,foreign,627,5,no
10.07,19,local,537,12,no
25.94,16,local,352,10,no
34.96,18,local,841,7,no
66.38,1,local,899,11,no
51.92,7,foreign,187,7,no
210.01,16,local,376,9,no
29.13,5,local,234,4,no
183.26,0,local,27,1,no
149.6,17,local,311,12,no
199.14,21,foreign,665,1,no
35.58,16,local,277,1,no
66.1,20,foreign,36,10,no
109.85,12,local,639,6,no
59.81,20,foreign,517,5,no
70.71,1,foreign,888,2,no
102.34,20,local,856,9,no
201.09,4,local,234,7,no
55.71,12,local,638,10,no
79.91,10,local,152,9,no
80.78,20,local,524,11,no
18.8,10,local,430,2,no
15.67,5,local,472,3,no
70.48,0,foreign,614,7,no
52.45,0,local,588,3,no
41.72,14,local,882,6,no
42.49,4,local,564,1,no
30.85,7,local,461,6,no
36.87,8,local,450,8,no
61.05,7,foreign,442,9,no
37.52,23,local,110,12,no
178.2,6,local,877,3,no
6.5,6,local,797,9,no
5.11,18,local,589,9,no
14.64,17,local,102,1,no
37.54,11,local,377,2,no
43.23,21,local,279,10,no
17.09,12,local,360,9,no
74.16,5,local,372,8,no
240.29,7,foreign,305,5,no
6.03,5,local,353,12,no
19.75,19,foreign,417,11,no
80.5,11,local,24,2,no
99.57,22,local,571,3,no
154.54,14,local,181,11,no
38.31,11,foreign,698,10,no
149.66,15,local,591,11,no
184.74,23,local,209,4,no
31.01,19,local,653,8,no
68.04,19,local,369,11,no
43.81,8,local,814,4,no
18.82,3,local,489,4,no
95.47,8,local,689,3,no
209.05,13,foreign,676,9,no
26.56,1,foreign,2,7,yes
72.59,7,local,706,10,no
101.83,9,local,663,10,no
91.48,4,local,453,3,no
73.65,1,foreign,580,2,no
83.19,3,local,764,1,no
82.1,14,foreign,380,11,no
11.67,8,local,416,12,no
99.91,18,local,706,8,no
101.88,2,local,411,11,no
78.98,9,local,135,5,no
13.48,14,local,128,6,no
5.11,7,foreign,58,6,no
13.31,8,local,746,8,no
5.05,11,local,321,11,no
124.68,4,local,170,11,no
115.39,6,local,657,12,no
13.94,2,local,841,9,no
68.97,10,local,682,8,no
89.4,17,local,445,10,no
222.67,16,local,311,3,no
44.45,20,foreign,706,5,no
109.46,0,local,30,1,no
92.78,7,local,754,3,no
30.88,22,local,449,12,no
97.72,20,foreign,142,4,no
62.03,19,local,123,7,no
762.83,20,local,256,2,no
136.5,2,local,848,8,no
52.73,5,local,473,10,no
227.23,7,foreign,734,3,no
53.9,12,local,505,9,no
203.34,15,foreign,78,1,no
172.09,2,foreign,426,4,no
74.65,22,local,888,8,no
8.74,16,local,288,2,no
93.59,15,local,67,6,no
13.05,21,local,881,2,no
42.64,16,local,589,12,no
108.43,8,foreign,467,1,no
39.78,19,local,801,2,no
46.18,1,local,596,3,no
152.44,14,foreign,550,3,no
48.04,14,local,92,8,no
122.04,3,local,839,3,no
25.87,0,local,108,11,no
15.55,7,local,716,4,no
37.14,3,local,214,2,no
16.21,2,foreign,381,6,no
35.93,23,local,739,3,no
36.89,7,local,41,7,no
190.18,11,local,347,3,no
112.81,11,local,832,10,no
66.7,13,local,492,9,no
81.25,15,foreign,541,4,no
23.85,22,local,668,3,no
91.8,0,local,805,11,no
27.87,16,local,785,1,no
54.99,13,local,899,3,no
246.99,6,local,813,6,no
58.58,20,local,124,5,no
319.7,22,local,284,2,no
52.84,12,local,877,9,no
24.6,15,foreign,759,11,no
32.65,17,local,166,7,no
51.38,5,local,459,10,no
71.5,20,foreign,777,8,no
132.47,5,local,10,1,no
61.18,7,foreign,187,9,no
15.6,13,local,212,7,no
47.11,1,local,537,3,no
48.08,5,local,670,5,no
267.72,3,foreign,357,9,yes
8.79,5,foreign,889,2,no
79.21,19,foreign,754,1,no
58.77,21,local,658,10,no
41.68,6,local,306,2,no
56.84,8,foreign,169,5,no
23.07,9,local,530,9,no
164.95,20,local,689,4,no
20.34,2,local,5,2,no
58.68,5,local,118,5,no
27.4,5,local,671,3,no
82.45,4,local,20,10,no
12.9,20,local,198,10,no
155.3,17,foreign,900,2,no
86.46,19,local,672,9,no
8.93,14,foreign,178,11,no
129.15,6,foreign,364,5,no
149.7,0,local,552,6,no
86.56,15,local,125,1,no
11.68,12,local,622,3,no
23.61,12,foreign,544,10,no
53.9,6,local,168,6,no
111.81,16,local,90,10,no
11.47,0,foreign,543,6,no
152.91,11,local,291,10,no
43.79,14,local,454,2,no
124.46,14,local,737,10,no
75.61,13,foreign,556,4,no
69.87,19,local,124,6,no
188.03,1,local,678,8,no
84.52,23,local,441,12,no
207.97,8,foreign,728,1,no
38.1,3,foreign,143,12,no
97.26,21,foreign,221,5,no
40.79,19,local,611,7,no
125.83,0,foreign,284,11,yes
86.39,5,local,350,5,no
11.67,6,local,790,2,no
29.83,22,local,604,4,no
49.76,11,local,646,4,no
216.1,6,foreign,468,3,no
45.07,21,local,179,12,no
5.75,11,foreign,527,12,no
34.15,5,local,280,12,no
354.87,19,foreign,839,10,no
72.76,11,local,835,6,no
218.57,21,local,265,8,no
59.25,16,local,560,8,no
42.06,3,local,839,1,no
86.2,12,local,582,7,no
34.82,16,foreign,844,4,no
12.56,19,foreign,213,5,no
66.03,11,local,467,2,no
29.04,2,local,34,7,no
35.37,14,local,212,4,no
179.47,1,foreign,598,6,no
94.38,1,foreign,18,7,no
99.66,5,foreign,483,5,no
39.62,23,local,503,5,no
219.36,7,foreign,465,10,no
20.25,22,foreign,254,1,no
316.07,13,local,723,10,no
8.3,3,local,98,6,no
18.68,4,foreign,313,9,no
7.1,10,local,763,12,no
274.79,3,local,57,8,yes
5.26,10,local,685,11,no
143.18,20,foreign,49,6,no
47.14,1,local,16,4,no
247.27,7,local,432,2,no
67.14,22,local,583,4,no
48.08,3,local,409,1,no
99.95,13,foreign,563,12,no
102.06,7,foreign,189,9,no
144.52,6,local,242,8,no
175.82,1,local,686,3,no
22.52,5,foreign,551,7,no
73.05,6,foreign,436,9,no
195.76,22,local,701,11,no
82.39,17,local,548,3,no
102.63,6,local,498,7,no
91.3,23,local,889,2,no
16.29,5,local,771,12,no
12.07,3,local,505,9,no
20.01,9,foreign,875,5,no
79.82,16,local,278,2,no
31.33,14,local,668,8,no
64.74,8,local,870,9,no
98.71,9,local,624,11,no
259.29,1,local,345,9,no
84.01,10,local,517,12,no
126.06,7,local,635,6,no
65.05,9,local,470,1,no
118.34,4,local,271,4,no
12.59,17,local,603,8,no
113.62,23,local,430,11,no
24.86,10,foreign,819,2,no
18.37,17,foreign,896,7,no
125.53,3,local,873,9,no
31.96,8,local,599,12,no
33.24,3,local,24,6,no
83.44,7,local,605,7,no
123.71,10,local,722,2,no
6.71,6,local,841,9,no
303.07,20,foreign,343,12,no
92.22,12,local,795,3,no
20.23,11,local,405,10,no
9.96,16,local,843,8,no
10.92,0,local,395,10,no
244.36,18,foreign,609,3,no
124.09,2,local,811,2,no
107.62,11,local,784,8,no
40.69,5,local,485,5,no
214.37,0,foreign,380,1,no
8.28,1,foreign,518,7,no
123.24,5,local,10,10,no
10.05,20,foreign,450,10,no
32.15,17,local,878,9,no
38.9,7,local,735,7,no
64.77,20,foreign,255,12,no
91.9,1,local,661,7,no
51.36,10,local,136,3,no
23.63,10,local,353,5,no
11.12,7,foreign,481,4,no
50.41,9,foreign,835,1,no
312.17,16,local,629,10,no
18.56,23,local,309,10,no
40.23,6,local,642,10,no
153.44,20,local,233,5,no
82.81,4,local,415,2,no
31.52,10,local,456,7,no
5.47,2,local,701,2,no
6.82,16,local,560,9,no
11.0,18,foreign,56,1,no
87.2,15,local,378,9,no
157.84,0,foreign,619,1,no
64.72,21,local,457,2,no
102.47,8,local,311,3,no
91.19,7,local,521,4,no
142.92,10,local,807,7,no
96.71,13,local,631,10,no
220.08,3,local,24,9,no
172.51,3,local,325,5,no
9.12,12,local,453,11,no
7.48,6,foreign,128,4,no
37.41,1,foreign,638,5,no
115.92,10,local,414,10,no
13.14,6,local,687,12,no
26.1,0,local,159,11,no
237.78,0,local,397,3,no
230.08,6,foreign,819,8,no
188.21,5,local,822,11,no
145.16,23,local,456,6,no
17.74,5,foreign,893,11,no
