tenure_months,monthly_spend,support_tickets,contract,region,churn
31,74.62,4,two_year,east,yes
37,77.77,8,two_year,north,yes
68,119.87,7,two_year,west,yes
72,101.01,6,two_year,north,no
60,105.17,2,annual,south,no
12,55.69,5,monthly,east,yes
8,136.14,4,two_year,west,yes
62,118.63,5,annual,east,no
29,102.17,0,annual,west,no
44,127.62,7,two_year,north,yes
47,98.59,0,two_year,east,no
37,123.28,3,monthly,south,yes
62,133.62,2,annual,north,no
9,59.32,7,two_year,west,yes
42,82.23,4,monthly,south,yes
15,65.0,3,monthly,south,yes
3,97.7,8,annual,west,yes
26,47.19,3,annual,west,yes
57,42.24,3,annual,south,no
37,128.11,5,monthly,south,yes
16,88.37,6,two_year,west,yes
44,89.49,5,annual,west,yes
41,96.47,2,annual,north,yes
58,80.34,1,annual,south,no
70,39.1,4,two_year,south,no
8,136.16,3,monthly,west,yes
18,27.08,0,two_year,north,no
50,95.61,4,monthly,south,yes
26,105.53,4,monthly,west,yes
54,124.95,8,two_year,north,yes
57,119.15,6,annual,east,yes
42,103.73,6,monthly,west,yes
29,81.42,3,monthly,west,yes
47,56.31,7,two_year,north,yes
40,59.55,7,two_year,north,yes
35,64.9,7,monthly,west,yes
49,91.51,1,two_year,south,no
16,31.26,5,monthly,east,yes
10,84.65,0,monthly,south,no
55,56.3,0,monthly,north,no
7,127.68,2,two_year,north,yes
59,132.94,2,annual,north,no
49,56.57,4,annual,east,no
60,35.18,0,annual,south,no
62,105.81,0,annual,east,no
11,26.41,0,monthly,north,no
67,25.38,3,monthly,east,no
35,51.07,7,annual,south,yes
12,138.3,7,two_year,east,yes
14,129.96,0,monthly,east,yes
36,111.65,8,monthly,west,yes
68,32.06,6,monthly,south,yes
46,66.69,7,two_year,east,yes
60,82.92,1,monthly,east,yes
34,138.36,4,monthly,south,yes
17,35.03,8,two_year,north,yes
28,88.88,5,monthly,south,yes
28,55.27,2,two_year,south,no
31,31.15,4,annual,west,no
4,87.73,7,annual,north,yes
33,78.45,5,annual,east,yes
47,98.15,8,two_year,west,yes
64,53.16,7,annual,north,yes
46,122.58,4,two_year,south,no
15,46.94,4,annual,south,yes
6,66.88,2,monthly,east,yes
13,95.08,0,annual,west,no
24,126.64,7,monthly,east,yes
68,52.25,7,monthly,south,yes
5,64.3,7,annual,east,yes
9,115.48,5,monthly,west,yes
52,46.24,1,two_year,west,no
6,54.24,3,two_year,east,yes
22,117.96,6,monthly,south,yes
13,134.05,7,two_year,east,yes
30,48.79,0,monthly,south,yes
35,52.95,4,two_year,south,yes
51,59.96,5,two_year,south,no
57,93.49,1,annual,south,no
32,44.2,1,two_year,east,no
5,116.69,1,two_year,west,no
12,131.64,0,monthly,east,no
51,139.38,8,two_year,west,yes
26,109.03,5,two_year,west,yes
4,132.39,3,annual,south,yes
47,137.98,4,monthly,north,yes
3,75.64,5,two_year,east,yes
8,79.38,8,annual,south,yes
2,80.84,6,two_year,east,yes
50,78.37,5,monthly,north,yes
69,135.36,5,annual,west,yes
14,34.25,4,annual,east,yes
7,31.18,7,monthly,east,yes
31,138.16,5,annual,west,yes
59,139.81,5,two_year,west,yes
55,139.33,0,annual,west,no
50,60.81,7,two_year,west,yes
44,100.37,1,two_year,north,no
2,136.46,4,two_year,south,yes
33,119.95,8,two_year,west,yes
59,124.74,3,monthly,east,yes
32,26.89,0,two_year,north,no
38,30.16,6,two_year,west,yes
45,85.59,8,monthly,west,yes
26,91.52,3,annual,south,yes
72,134.63,6,two_year,north,yes
69,46.36,6,annual,west,yes
55,115.85,5,monthly,north,yes
26,133.97,4,monthly,west,yes
3,91.37,3,annual,north,yes
57,130.27,0,annual,north,no
67,56.6,6,monthly,west,yes
25,41.06,5,monthly,west,yes
19,128.89,8,two_year,north,yes
41,80.1,7,monthly,west,yes
7,96.5,3,two_year,north,yes
10,27.84,8,two_year,east,yes
34,124.8,1,two_year,west,no
64,125.24,8,two_year,north,yes
57,46.48,3,two_year,north,no
6,117.96,2,annual,north,yes
51,74.96,1,monthly,south,yes
9,69.52,8,monthly,west,yes
41,100.76,0,two_year,east,no
53,64.68,0,monthly,east,no
2,118.93,5,monthly,north,yes
11,86.23,5,two_year,south,yes
52,136.29,3,monthly,north,yes
26,55.1,4,annual,east,no
35,37.42,7,annual,south,yes
12,136.17,5,monthly,east,yes
39,134.73,1,monthly,west,no
49,102.55,4,monthly,south,no
32,87.4,6,monthly,east,yes
6,82.47,1,monthly,east,yes
30,40.84,3,two_year,east,yes
2,82.44,3,annual,south,yes
49,133.29,2,monthly,east,yes
24,62.32,0,monthly,south,no
41,77.53,8,annual,north,yes
70,99.89,8,annual,east,yes
48,67.75,1,annual,east,no
10,123.69,7,two_year,south,yes
69,97.86,5,annual,north,no
60,131.13,4,two_year,east,no
34,123.04,0,two_year,north,no
5,41.97,5,two_year,north,yes
71,129.79,6,two_year,south,no
48,70.14,4,monthly,south,yes
27,66.91,0,annual,north,no
34,43.39,8,monthly,south,yes
50,126.12,7,annual,south,yes
32,61.24,5,monthly,south,yes
25,32.57,7,monthly,north,yes
36,34.16,3,monthly,east,yes
13,135.47,2,annual,west,yes
47,93.94,3,monthly,south,yes
3,106.13,4,two_year,west,yes
14,136.71,3,two_year,south,no
68,93.71,4,monthly,north,no
14,132.4,8,monthly,west,yes
48,137.63,7,annual,west,yes
7,77.27,2,monthly,south,yes
51,61.32,4,annual,east,no
48,64.24,2,two_year,south,no
21,108.98,3,annual,north,yes
27,69.95,8,monthly,west,yes
48,114.0,5,annual,west,yes
70,119.63,8,monthly,east,yes
46,36.38,3,two_year,south,yes
27,94.61,3,annual,west,yes
19,112.56,4,annual,south,yes
25,69.58,7,annual,west,yes
11,65.95,5,annual,north,yes
3,59.27,8,two_year,west,yes
45,90.06,0,two_year,north,no
6,118.25,1,monthly,east,yes
13,101.59,0,annual,south,no
47,30.12,3,two_year,east,no
57,99.13,0,monthly,west,yes
12,89.14,6,annual,south,yes
22,104.58,7,two_year,east,yes
29,139.01,4,two_year,north,yes
25,127.1,3,monthly,north,yes
68,126.71,2,annual,north,yes
70,54.79,3,monthly,east,no
68,27.67,3,two_year,east,no
2,125.56,3,monthly,west,yes
34,69.97,2,annual,east,yes
4,50.75,7,annual,north,yes
53,65.07,4,annual,north,no
13,95.27,3,two_year,west,yes
39,67.55,1,two_year,south,no
20,35.32,7,monthly,south,yes
31,37.16,3,annual,east,no
27,39.26,6,annual,east,yes
34,50.17,5,annual,west,yes
61,32.23,6,monthly,north,yes
10,135.93,1,monthly,west,no
48,74.0,5,two_year,west,yes
57,119.62,5,annual,east,yes
41,74.52,2,annual,west,no
43,95.37,2,monthly,north,no
46,94.01,7,monthly,north,yes
19,39.26,7,two_year,north,yes
12,102.68,7,monthly,north,yes
36,89.37,0,two_year,north,no
1,38.66,6,annual,north,yes
21,80.28,5,two_year,south,yes
15,53.78,1,monthly,north,yes
69,104.86,0,annual,west,no
3,130.08,4,annual,south,yes
69,49.69,6,monthly,west,yes
16,111.46,4,two_year,south,yes
1,112.51,4,two_year,east,yes
55,58.34,0,two_year,east,no
25,137.15,0,monthly,north,yes
56,79.24,8,annual,east,yes
64,61.28,4,two_year,west,no
38,105.46,3,two_year,west,no
34,54.8,3,monthly,north,no
44,50.33,4,annual,east,no
8,76.98,4,monthly,east,yes
29,135.12,2,annual,east,yes
17,67.31,5,monthly,west,yes
53,40.01,0,annual,west,no
49,51.68,5,two_year,east,yes
2,86.19,8,annual,north,yes
64,100.9,0,annual,north,no
50,114.64,8,two_year,south,yes
66,34.61,3,two_year,south,no
11,55.43,6,annual,east,yes
63,72.68,8,two_year,east,yes
53,121.17,3,monthly,north,yes
66,124.7,0,two_year,east,no
32,52.73,4,annual,south,no
43,55.8,4,monthly,east,yes
10,89.49,1,monthly,east,yes
64,36.14,1,annual,north,no
6,128.27,4,two_year,north,yes
50,86.79,8,annual,east,yes
27,137.8,4,monthly,east,yes
57,125.47,3,monthly,south,yes
32,125.91,1,two_year,north,yes
64,36.76,8,annual,south,yes
44,58.33,2,annual,east,no
4,69.35,8,annual,west,yes
34,83.73,6,two_year,north,yes
17,125.87,0,two_year,east,no
7,126.34,3,two_year,east,yes
2,29.41,3,annual,east,yes
31,41.05,5,annual,north,no
44,76.67,8,two_year,east,yes
69,108.87,1,annual,south,no
55,93.3,0,two_year,north,no
52,37.65,7,two_year,west,yes
66,123.6,1,two_year,south,no
56,57.68,6,annual,west,yes
15,73.83,1,annual,east,yes
65,65.07,0,monthly,south,no
18,82.67,7,annual,north,yes
58,89.51,2,annual,south,no
45,117.09,2,annual,south,no
31,108.95,5,monthly,east,yes
11,87.37,1,two_year,south,no
69,111.61,8,two_year,south,yes
5,35.51,8,two_year,west,yes
39,37.09,7,two_year,east,yes
38,52.92,6,two_year,east,yes
69,36.7,0,monthly,south,no
8,80.09,6,two_year,north,yes
14,127.25,3,annual,east,yes
38,78.58,5,two_year,west,yes
45,28.63,5,monthly,south,yes
38,116.68,4,monthly,west,yes
28,85.94,8,two_year,east,yes
4,40.81,2,two_year,west,yes
48,83.73,0,annual,south,no
4,115.45,1,two_year,west,no
12,39.5,2,monthly,south,yes
2,87.84,8,monthly,north,yes
39,114.15,6,two_year,west,yes
1,49.3,4,two_year,north,yes
26,59.05,8,two_year,north,yes
52,111.57,0,monthly,north,no
53,86.33,4,annual,east,yes
25,120.69,5,two_year,south,yes
14,96.15,2,two_year,east,no
14,73.44,8,annual,north,yes
40,130.37,8,monthly,north,yes
11,97.33,3,annual,west,yes
9,121.36,6,monthly,west,yes
28,109.17,6,annual,east,yes
15,131.79,3,monthly,west,yes
5,135.15,3,two_year,north,yes
37,82.05,0,annual,south,no
56,38.81,6,two_year,south,no
53,71.43,3,annual,east,no
13,60.2,8,annual,north,yes
54,94.73,6,monthly,west,yes
48,119.97,4,monthly,east,yes
1,120.34,4,two_year,north,yes
70,111.26,1,monthly,north,no
24,98.12,0,monthly,west,yes
58,77.1,3,annual,north,no
30,130.78,8,annual,east,yes
19,65.69,8,annual,east,yes
10,37.91,7,monthly,east,yes
27,120.27,1,monthly,west,no
49,122.04,1,monthly,east,yes
28,121.67,5,two_year,south,yes
55,36.01,6,monthly,east,yes
6,122.26,0,monthly,east,no
35,76.34,2,annual,south,no
29,111.12,2,annual,south,no
8,42.28,3,two_year,south,no
66,59.9,8,annual,east,yes
16,60.17,3,monthly,north,no
3,115.15,2,monthly,north,yes
43,94.38,4,monthly,north,yes
7,76.36,1,monthly,east,yes
68,120.46,2,annual,north,no
28,57.26,1,monthly,south,no
65,136.06,7,annual,north,yes
15,95.46,3,two_year,south,yes
49,49.79,1,two_year,east,no
9,66.88,8,annual,west,yes
41,120.43,4,two_year,south,yes
61,88.82,0,two_year,west,no
55,83.53,8,two_year,west,yes
41,126.94,6,two_year,north,yes
36,92.88,8,two_year,south,yes
66,29.59,7,annual,south,yes
4,28.51,2,annual,west,no
35,82.25,4,annual,south,yes
62,43.62,7,monthly,east,yes
55,76.24,5,annual,north,yes
41,87.68,1,monthly,north,no
62,102.52,5,two_year,south,yes
33,85.9,8,two_year,west,yes
57,39.21,6,two_year,east,no
14,97.4,8,annual,north,yes
4,60.22,2,monthly,south,yes
40,64.1,7,monthly,east,yes
55,72.48,0,monthly,south,no
55,139.84,7,two_year,west,yes
35,95.74,0,monthly,south,no
72,64.29,1,monthly,east,no
67,74.33,5,two_year,east,no
9,75.31,2,two_year,north,no
35,131.97,0,monthly,south,no
9,90.35,1,two_year,east,yes
64,134.2,5,annual,north,yes
66,33.27,6,annual,south,yes
67,120.13,2,annual,south,yes
11,66.35,4,two_year,south,no
71,103.54,1,two_year,east,no
43,94.49,6,two_year,north,yes
71,134.98,5,two_year,east,yes
69,103.15,2,monthly,west,yes
24,51.83,6,two_year,north,yes
23,25.09,5,two_year,south,yes
6,135.14,0,monthly,north,yes
48,56.94,2,monthly,east,no
48,80.65,1,two_year,west,no
34,28.04,2,two_year,south,no
28,95.62,3,monthly,north,yes
63,61.97,4,annual,south,no
36,78.36,7,two_year,west,yes
24,113.55,2,two_year,south,yes
26,25.41,8,monthly,south,yes
41,78.74,8,annual,south,yes
46,115.94,4,annual,east,yes
50,60.43,3,monthly,east,no
50,85.79,2,two_year,north,no
30,127.22,4,annual,south,yes
70,112.62,3,monthly,north,yes
17,27.54,0,two_year,west,no
46,70.85,1,two_year,east,no
42,84.21,3,two_year,west,yes
72,109.67,2,monthly,west,yes
45,125.45,5,two_year,west,yes
43,78.62,1,two_year,east,no
39,81.94,1,two_year,east,yes
64,30.05,7,annual,south,yes
8,111.03,1,two_year,south,yes
67,37.19,2,two_year,north,no
20,96.87,1,two_year,north,no
23,125.88,8,two_year,west,yes
60,138.88,6,annual,east,yes
50,137.35,6,monthly,north,yes
11,101.62,4,two_year,north,yes
1,92.66,1,annual,south,yes
48,42.57,6,monthly,north,yes
43,103.09,2,two_year,south,no
19,126.09,6,two_year,south,yes
70,25.2,5,two_year,east,no
71,36.7,4,monthly,south,no
64,88.58,0,annual,east,no
13,138.6,5,two_year,south,yes
62,136.15,8,two_year,south,yes
26,113.41,1,annual,north,yes
61,115.38,0,two_year,east,no
66,128.13,4,two_year,west,no
66,125.99,4,monthly,south,yes
48,45.76,2,monthly,west,no
24,123.84,5,two_year,west,yes
47,74.92,5,monthly,south,yes
56,37.16,4,monthly,north,no
37,125.56,5,monthly,south,yes
5,33.25,3,annual,west,no
61,110.68,6,annual,south,yes
47,115.46,4,two_year,south,no
38,25.53,1,two_year,south,no
72,64.0,2,monthly,east,no
40,59.16,6,annual,west,yes
48,95.75,3,annual,south,no
72,79.77,5,annual,south,no
19,137.1,5,two_year,south,yes
41,46.77,6,monthly,east,yes
5,118.85,7,two_year,south,yes
70,76.45,6,monthly,south,yes
9,88.23,0,two_year,east,no
59,72.71,4,monthly,east,yes
6,131.55,2,monthly,west,yes
58,56.3,8,two_year,west,yes
56,95.27,2,annual,south,no
44,137.58,1,two_year,south,no
59,58.48,7,monthly,east,yes
10,34.73,8,monthly,north,yes
2,38.41,4,annual,east,yes
37,52.44,7,monthly,south,yes
24,103.66,8,two_year,west,yes
62,30.26,2,monthly,north,yes
2,40.05,6,monthly,west,yes
25,128.13,3,monthly,north,yes
24,54.15,2,two_year,south,no
39,85.74,5,monthly,north,yes
16,60.65,1,two_year,east,no
10,99.04,4,annual,south,yes
51,94.21,4,two_year,north,no
37,59.73,5,monthly,west,yes
70,62.66,5,annual,west,no
37,99.52,8,annual,south,yes
66,128.94,4,annual,north,yes
10,104.9,5,two_year,east,yes
7,103.66,2,annual,west,yes
72,77.81,8,monthly,west,yes
24,120.73,2,monthly,west,yes
16,58.46,1,annual,south,yes
67,108.11,5,two_year,east,yes
21,112.29,6,monthly,south,yes
35,128.88,4,monthly,south,yes
36,124.28,1,monthly,west,no
36,29.05,0,annual,south,no
3,79.68,6,annual,north,yes
46,109.23,3,annual,north,no
36,87.93,2,two_year,east,no
28,50.43,0,monthly,north,no
11,84.41,2,monthly,north,yes
21,50.74,1,annual,north,no
60,62.85,1,two_year,east,no
15,118.85,8,annual,north,yes
63,122.07,1,two_year,west,no
59,91.88,7,annual,south,yes
33,68.69,1,monthly,south,no
11,48.28,4,two_year,east,no
39,73.1,3,monthly,west,yes
53,115.72,8,two_year,north,yes
36,120.83,8,two_year,west,yes
9,35.68,0,two_year,east,no
12,138.58,5,two_year,west,yes
39,64.41,5,two_year,north,no
13,110.51,8,monthly,north,yes
55,73.57,7,annual,east,yes
3,91.15,6,two_year,north,yes
12,54.34,6,annual,east,yes
66,130.17,7,annual,east,yes
54,86.99,3,two_year,north,no
14,38.36,6,two_year,south,yes
20,63.08,7,monthly,east,yes
12,113.94,6,two_year,north,yes
52,69.26,8,monthly,north,yes
43,132.47,1,annual,east,no
42,84.37,2,annual,south,no
39,138.52,3,two_year,north,yes
47,138.49,0,annual,north,no
25,74.06,8,annual,north,yes
17,40.93,5,two_year,north,yes
62,72.38,6,two_year,west,yes
30,51.7,0,monthly,west,no
21,28.39,5,two_year,south,no
68,56.57,0,monthly,east,no
57,139.29,4,monthly,north,yes
44,37.7,6,two_year,west,no
22,90.85,2,annual,north,yes
31,134.35,1,annual,south,no
36,62.8,3,annual,north,no
62,97.03,7,annual,east,yes
71,48.66,8,two_year,west,yes
41,126.91,3,two_year,west,no
41,90.52,3,two_year,south,yes
4,60.87,6,monthly,west,yes
16,138.98,3,two_year,west,yes
50,98.12,3,annual,north,no
64,53.57,7,monthly,south,yes
32,41.3,8,monthly,south,yes
54,135.12,0,two_year,south,no
28,40.46,1,annual,west,no
72,74.88,1,monthly,south,no
61,82.34,3,two_year,south,no
45,60.49,5,two_year,north,no
5,47.4,1,two_year,north,no
42,55.14,7,monthly,west,yes
58,77.27,3,annual,south,yes
46,31.64,7,two_year,south,yes
46,91.1,6,monthly,west,yes
71,73.94,7,monthly,east,yes
30,46.28,3,annual,north,no
24,122.94,7,two_year,south,yes
50,79.93,5,monthly,east,yes
62,87.53,4,monthly,north,yes
72,26.23,5,annual,east,no
60,56.23,2,monthly,west,no
28,46.33,4,two_year,north,yes
61,61.13,6,monthly,north,yes
7,121.69,2,annual,north,no
34,91.57,4,two_year,south,yes
11,68.41,0,two_year,east,no
8,73.42,0,two_year,south,no
41,101.9,3,annual,south,yes
19,27.28,6,annual,east,yes
34,34.08,0,two_year,east,no
36,74.24,0,annual,north,no
70,77.22,7,monthly,east,yes
15,72.0,4,monthly,west,yes
57,54.35,1,two_year,west,no
7,118.78,4,two_year,east,yes
31,96.9,5,annual,west,yes
53,28.97,0,two_year,south,no
57,49.11,7,monthly,south,yes
62,116.96,6,monthly,north,yes
31,58.18,5,monthly,north,yes
24,120.63,6,two_year,west,yes
33,93.06,3,two_year,west,yes
7,103.19,4,annual,south,yes
7,114.4,4,annual,south,yes
63,131.45,4,two_year,south,yes
41,77.3,8,annual,west,yes
49,67.66,4,annual,east,yes
13,41.22,6,annual,east,yes
2,69.53,0,annual,west,yes
58,92.61,0,monthly,west,no
57,89.26,5,two_year,south,no
68,115.01,3,monthly,east,yes
42,130.34,7,monthly,north,yes
37,82.72,8,annual,north,yes
14,131.72,7,two_year,south,yes
39,108.85,7,annual,east,yes
31,92.7,6,annual,north,yes
6,114.96,2,monthly,south,yes
34,136.76,0,two_year,west,no
71,33.06,3,annual,north,no
20,133.34,2,two_year,south,no
44,77.46,8,monthly,north,yes
64,34.63,3,annual,south,no
1,126.14,2,two_year,west,yes
24,116.13,6,two_year,west,yes
6,85.94,4,annual,south,yes
42,139.24,6,annual,north,yes
36,118.08,6,annual,south,yes
24,101.76,3,annual,south,yes
26,105.4,3,monthly,west,yes
18,108.39,5,monthly,east,yes
5,80.03,2,two_year,south,yes
57,72.49,5,monthly,west,yes
15,72.65,1,monthly,south,no
39,103.99,0,monthly,south,no
21,139.66,4,two_year,west,yes
65,132.74,6,two_year,south,yes
44,45.35,4,monthly,west,yes
14,75.3,5,annual,north,yes
52,119.1,1,two_year,east,no
3,130.91,1,annual,east,no
10,79.12,7,annual,east,yes
21,128.07,5,monthly,south,yes
21,46.98,1,two_year,north,no
43,84.31,7,two_year,west,yes
28,86.28,5,two_year,west,yes
13,36.22,1,two_year,west,no
52,40.27,3,annual,east,yes
41,122.45,0,two_year,west,no
45,128.82,2,monthly,north,yes
35,84.24,6,two_year,south,yes
61,56.0,4,monthly,east,yes
27,25.32,5,two_year,west,yes
4,61.95,7,monthly,north,yes
44,129.13,8,two_year,south,yes
3,101.9,6,monthly,south,yes
56,38.53,1,two_year,north,no
23,34.85,3,two_year,east,no
66,47.46,1,two_year,east,no
43,44.25,3,annual,south,no
52,62.21,6,two_year,east,yes
5,38.52,5,two_year,east,yes
51,112.11,2,annual,south,yes
37,128.72,1,annual,west,yes
3,75.21,8,monthly,south,yes
50,65.68,2,two_year,north,no
39,32.74,3,two_year,south,yes
14,59.6,4,monthly,west,yes
57,39.13,6,two_year,west,yes
44,127.95,0,monthly,south,no
68,70.76,7,monthly,west,yes
43,124.66,6,annual,west,yes
26,66.36,6,monthly,north,yes
33,102.58,3,monthly,west,yes
7,54.33,4,monthly,north,yes
50,100.65,7,two_year,north,yes
66,49.7,2,monthly,west,no
1,116.73,3,two_year,east,no
39,56.99,3,monthly,east,yes
44,107.23,2,annual,north,yes
48,127.06,1,annual,west,no
35,101.14,6,monthly,west,yes
55,28.21,2,monthly,west,no
48,86.22,3,two_year,west,yes
24,40.61,8,monthly,west,yes
39,106.46,0,two_year,west,no
48,98.62,6,annual,east,yes
34,139.01,1,two_year,north,no
37,86.01,0,monthly,south,no
21,105.56,7,two_year,east,yes
1,42.81,5,annual,east,yes
52,74.25,1,annual,north,no
60,55.12,2,annual,north,no
26,69.07,5,annual,south,yes
15,46.93,0,monthly,west,no
25,122.83,1,annual,west,yes
56,113.78,7,monthly,south,yes
45,91.99,5,annual,east,yes
51,109.09,3,monthly,west,yes
16,74.52,2,two_year,north,no
19,124.26,6,annual,east,yes
60,63.8,2,two_year,north,no
18,72.65,3,two_year,south,yes
31,71.69,1,monthly,west,no
5,122.05,7,annual,south,yes
48,39.92,0,two_year,south,no
19,38.32,8,annual,south,yes
67,42.33,4,two_year,north,no
52,137.45,6,two_year,south,yes
66,116.76,4,monthly,east,no
17,30.76,1,annual,north,no
51,32.81,1,annual,west,no
31,61.27,2,monthly,north,yes
46,79.78,8,annual,south,yes
12,32.96,0,monthly,south,yes
61,115.17,0,two_year,east,no
43,129.26,3,two_year,west,yes
35,29.73,0,two_year,north,no
58,135.6,2,annual,west,no
47,101.46,3,annual,north,yes
65,26.63,2,annual,east,no
36,131.99,0,monthly,east,yes
63,27.97,6,two_year,north,yes
58,125.9,6,annual,south,yes
26,78.45,2,two_year,east,yes
71,102.9,3,monthly,north,yes
54,125.87,6,two_year,south,yes
56,30.29,4,monthly,north,yes
39,33.44,5,two_year,north,no
19,132.93,3,annual,north,yes
39,26.25,0,annual,west,no
61,100.59,4,annual,east,no
6,45.77,5,two_year,east,yes
17,100.92,6,two_year,west,yes
71,96.08,3,annual,north,no
58,121.64,8,annual,east,yes
26,80.44,6,annual,west,yes
65,42.81,7,monthly,east,yes
13,72.82,3,monthly,north,yes
18,73.91,3,monthly,north,no
13,37.2,7,annual,east,yes
43,40.1,3,monthly,west,no
46,75.51,1,monthly,west,no
54,110.02,5,two_year,west,no
15,62.86,6,two_year,north,yes
69,83.18,5,monthly,east,yes
33,89.4,3,annual,west,yes
2,115.07,3,monthly,west,yes
68,28.41,3,two_year,east,no
39,56.0,8,monthly,west,yes
32,72.77,8,monthly,north,yes
52,135.91,1,annual,north,no
49,129.04,3,two_year,north,yes
66,30.47,1,annual,north,no
35,25.21,0,monthly,east,no
10,98.83,7,annual,east,yes
50,100.26,2,annual,east,no
48,61.35,3,annual,west,no
10,106.68,1,monthly,east,yes
20,86.84,7,two_year,west,yes
61,25.05,6,monthly,west,yes
49,82.34,1,monthly,north,no
17,137.21,0,two_year,west,no
18,125.43,6,monthly,east,yes
4,41.38,1,two_year,west,no
68,83.91,8,annual,north,yes
51,98.96,4,two_year,west,no
7,59.99,2,annual,north,yes
45,83.89,4,two_year,west,no
23,48.08,8,monthly,west,yes
23,124.89,0,annual,south,no
62,70.25,3,annual,east,no
30,103.67,7,monthly,south,yes
18,104.09,0,annual,north,yes
64,104.93,1,monthly,south,no
39,35.11,4,two_year,north,no
37,60.14,3,two_year,west,yes
19,93.17,6,two_year,west,yes
8,118.67,8,annual,east,yes
42,128.99,6,two_year,south,yes
