fixed_acidity,residual_sugar,alcohol,sulphates,color,quality
7.53,7.32,10.89,1.12,red,low
8.35,4.26,11.12,0.57,red,medium
6.0,3.93,13.84,1.19,red,high
7.38,5.8,12.51,0.33,white,high
5.12,5.16,12.76,0.89,red,high
8.52,5.06,8.07,1.09,white,medium
6.37,1.34,9.04,0.38,red,low
7.38,3.67,9.74,0.39,red,low
5.28,2.55,9.01,1.03,red,medium
8.91,6.66,12.55,0.7,white,low
6.15,5.34,13.39,1.14,red,high
7.21,3.78,10.27,0.82,red,medium
5.63,4.36,8.47,0.45,white,low
7.85,6.3,9.75,0.65,white,medium
7.51,2.51,9.56,0.32,red,low
5.72,6.65,12.87,0.38,white,medium
6.77,7.18,13.34,0.39,white,medium
5.38,0.89,12.27,0.52,white,high
5.01,6.67,10.26,0.82,white,low
5.3,4.74,9.05,0.42,white,low
7.5,1.68,11.16,0.5,red,medium
7.63,4.19,8.32,0.35,white,low
8.39,2.82,11.83,0.83,red,medium
6.13,8.1,13.42,0.74,red,medium
7.21,3.77,11.66,1.14,white,high
7.14,6.84,11.03,1.06,white,medium
7.26,2.72,12.71,0.53,red,high
7.75,2.29,13.8,1.03,white,high
7.77,2.56,9.92,0.55,red,medium
7.26,4.3,10.45,0.55,white,medium
7.42,2.21,10.95,1.17,red,high
4.99,8.13,13.88,0.98,red,high
6.34,5.14,10.42,0.92,white,medium
7.7,1.78,9.4,0.75,red,medium
9.47,3.71,14.45,0.85,white,high
5.28,5.0,14.15,0.73,white,high
8.49,2.51,13.29,0.37,red,high
6.69,3.1,11.83,1.0,white,medium
4.82,1.18,13.77,0.52,white,high
7.43,1.52,10.72,0.53,red,medium
4.95,7.92,10.55,1.13,white,medium
8.59,5.49,12.56,0.83,white,medium
7.18,6.65,13.03,0.66,white,medium
5.8,3.82,12.57,0.82,red,high
8.7,5.11,9.68,0.37,red,medium
9.32,4.8,9.24,0.92,red,low
7.43,4.2,11.2,0.61,red,medium
5.39,8.06,10.99,1.06,white,medium
4.86,4.69,11.15,0.66,white,medium
6.9,3.11,13.49,0.96,white,high
7.79,8.73,9.3,1.08,white,medium
4.93,2.63,8.89,0.43,white,low
6.46,4.13,8.83,0.8,white,low
9.14,7.38,12.88,0.34,white,medium
6.51,1.87,11.54,0.55,red,medium
8.79,7.01,10.17,1.14,white,medium
9.33,2.95,10.36,0.34,white,medium
9.33,3.03,9.38,0.58,red,low
6.49,4.92,13.09,1.15,white,medium
8.49,8.0,12.19,0.99,red,medium
8.2,0.97,11.56,1.11,white,medium
7.61,5.04,12.05,1.12,white,medium
5.38,4.82,10.46,0.84,red,high
8.07,2.19,13.28,0.38,red,medium
6.38,4.12,11.13,1.08,red,high
9.33,4.41,9.76,0.49,red,medium
9.43,6.94,13.51,0.47,white,low
7.66,1.71,8.15,0.41,white,low
7.49,4.71,10.76,0.59,white,low
5.63,8.22,8.04,0.32,red,low
9.17,0.82,10.77,0.58,red,medium
7.63,3.75,14.15,0.63,white,high
7.94,1.09,14.16,0.56,white,medium
5.5,8.0,14.44,0.81,red,high
4.99,3.4,13.33,0.96,red,high
7.2,5.42,12.2,0.67,white,medium
5.45,5.74,9.74,0.87,white,medium
8.64,0.97,12.97,0.95,red,medium
7.83,4.27,13.45,1.09,white,medium
5.33,5.13,12.74,0.47,red,medium
6.21,7.63,12.65,0.89,white,medium
6.46,1.54,13.92,1.2,white,high
7.38,3.49,13.7,0.65,white,high
7.52,5.07,11.53,1.02,red,medium
8.33,5.6,14.16,0.64,white,high
7.68,4.22,13.27,0.91,red,high
5.28,0.98,12.05,0.68,red,high
6.82,3.67,8.09,1.18,white,low
5.98,7.89,9.3,0.55,red,low
8.18,2.9,10.11,0.74,white,medium
7.09,4.07,9.64,0.34,white,low
5.27,7.98,8.81,1.18,red,medium
5.35,0.81,10.06,0.42,red,medium
7.74,4.4,11.48,0.82,red,medium
5.51,8.21,14.37,0.94,red,high
9.46,5.43,9.8,0.33,white,low
7.85,5.94,8.15,0.47,red,low
5.74,5.6,9.58,1.0,red,medium
5.54,8.71,12.43,0.96,red,medium
5.76,1.96,8.19,0.99,red,low
9.44,2.33,10.76,0.75,red,medium
8.82,8.19,10.18,0.95,red,medium
6.01,8.49,13.22,0.86,red,high
5.88,1.5,10.68,0.73,red,medium
9.41,2.75,12.03,0.32,white,low
7.42,5.14,9.34,0.37,white,low
5.36,6.39,14.48,0.99,red,high
9.04,2.44,10.78,0.98,white,medium
5.06,2.77,9.1,0.8,red,low
5.63,3.49,9.93,0.6,red,medium
8.03,8.11,12.42,0.83,white,high
6.39,5.47,10.68,0.66,red,high
5.74,2.19,13.09,0.96,white,high
7.02,2.25,13.67,0.3,white,high
8.48,1.82,10.96,0.64,white,medium
8.45,5.97,9.65,0.67,red,medium
7.91,5.07,13.05,1.08,red,high
8.03,2.99,14.34,1.0,white,high
5.23,3.14,13.14,0.71,red,high
8.55,4.39,8.92,0.67,red,low
8.09,2.14,10.4,0.95,red,medium
7.33,7.53,9.66,0.62,red,low
7.11,4.85,10.63,1.13,white,high
7.92,1.18,14.03,0.41,red,high
9.32,4.1,8.73,0.71,white,low
8.27,5.6,12.48,0.6,white,high
5.81,5.22,13.3,0.73,red,high
7.37,3.01,13.35,0.77,white,high
6.0,4.59,8.53,0.57,red,low
9.13,3.04,11.49,0.7,white,medium
5.22,7.43,8.99,0.38,white,medium
8.44,6.06,11.85,0.42,red,medium
8.83,2.92,12.14,0.36,red,low
8.47,6.64,11.91,0.41,red,high
5.74,6.26,10.83,0.43,red,medium
6.09,7.28,11.57,0.92,white,medium
5.4,2.77,14.35,1.0,white,high
5.53,1.47,9.1,0.79,white,low
4.99,8.11,12.52,0.42,white,medium
8.35,2.49,12.34,0.64,white,medium
6.47,3.87,12.12,0.82,red,medium
8.92,1.26,13.81,1.06,white,medium
5.55,7.85,9.43,1.1,white,medium
7.72,1.53,9.5,0.45,red,medium
5.45,3.53,13.22,0.37,white,high
6.65,5.82,13.24,0.71,red,medium
8.62,4.13,10.5,0.3,red,low
5.69,6.95,12.74,0.4,white,high
9.37,2.55,10.83,0.69,white,low
6.31,2.14,10.28,0.36,red,medium
7.44,4.05,10.99,0.68,red,high
9.03,3.31,9.94,0.62,red,medium
7.75,6.71,9.97,0.95,white,low
6.79,7.93,13.04,0.93,red,high
9.06,8.42,8.58,0.87,white,low
6.85,3.37,12.56,1.17,white,medium
5.49,5.26,9.12,0.42,white,low
7.64,7.76,8.18,1.11,red,medium
9.07,8.01,13.22,0.63,white,medium
6.81,4.55,10.14,0.87,white,medium
8.93,2.16,13.51,0.83,red,medium
7.24,3.6,12.6,1.17,red,medium
5.36,2.86,13.97,0.67,red,high
7.78,2.31,8.36,1.02,red,low
7.49,4.4,9.6,0.62,red,low
5.29,4.88,8.37,0.69,white,medium
6.47,8.53,11.05,0.76,red,medium
9.47,3.63,13.66,0.35,white,medium
8.91,7.93,11.72,1.0,white,high
8.33,7.05,8.69,0.86,red,medium
7.84,1.02,8.72,1.15,red,medium
8.41,2.39,12.55,0.58,white,low
9.17,2.89,12.54,1.02,red,medium
5.17,5.61,14.02,0.88,white,high
5.42,6.24,8.81,1.03,white,medium
9.26,6.33,8.85,0.45,white,low
8.7,3.61,14.37,0.9,white,high
8.23,6.85,11.86,0.45,white,medium
8.21,8.49,12.29,0.5,white,medium
6.57,6.66,8.78,1.0,white,low
7.26,2.03,13.3,0.84,red,high
5.54,6.58,13.84,0.42,red,high
5.45,7.13,13.31,0.55,white,medium
5.18,3.07,8.96,0.63,red,medium
5.71,6.39,11.54,0.37,white,medium
6.92,5.87,8.55,1.18,white,low
5.6,5.14,11.51,0.66,red,high
6.51,4.1,11.02,1.1,red,medium
8.8,6.77,8.59,1.04,red,low
6.79,5.27,10.56,0.67,white,medium
8.63,5.96,11.05,0.42,white,medium
7.28,1.19,13.89,0.72,red,high
5.09,2.34,9.5,0.78,red,low
6.1,7.74,10.85,0.61,white,low
6.75,7.73,9.58,0.98,white,medium
7.05,7.28,13.41,0.34,red,medium
5.47,2.04,12.88,0.31,white,high
9.29,2.58,11.72,0.4,red,medium
7.88,3.28,8.79,0.83,red,low
9.3,7.72,14.22,0.88,white,high
7.71,5.86,14.09,1.15,red,high
8.42,4.65,9.99,0.65,red,low
5.16,5.11,12.9,0.87,red,medium
9.18,3.49,11.62,0.65,red,low
6.53,0.84,13.52,0.39,white,high
7.42,6.92,12.23,0.67,white,medium
8.44,8.76,12.22,0.84,white,low
6.72,1.15,12.05,0.7,white,medium
5.39,7.49,13.27,0.88,red,high
7.77,4.97,10.28,1.08,red,medium
4.99,2.04,14.12,0.94,red,high
5.34,6.7,8.11,0.9,white,low
5.48,1.46,9.89,0.57,white,medium
8.83,5.35,14.33,1.08,white,high
5.01,2.33,13.4,0.78,red,high
9.46,8.43,10.31,0.5,white,low
7.89,8.86,13.77,0.34,white,high
8.56,4.22,9.41,0.85,white,medium
8.18,5.8,11.29,0.44,white,low
7.66,6.42,8.12,0.62,red,low
5.56,4.5,10.58,1.15,red,medium
6.94,8.06,9.1,1.0,red,medium
7.1,3.62,10.67,1.03,white,medium
8.74,2.49,9.73,0.66,white,medium
7.47,5.68,12.29,0.64,white,medium
9.43,4.02,8.57,1.04,red,low
9.38,4.51,11.09,0.34,red,low
8.35,7.17,12.66,0.63,white,high
8.25,3.09,14.44,0.98,white,medium
8.5,7.01,14.17,1.07,red,high
5.78,8.64,14.41,1.17,white,high
6.92,6.42,10.46,0.59,red,medium
8.27,3.06,11.85,0.46,white,medium
6.24,6.9,8.86,1.13,red,medium
8.49,1.3,9.76,1.12,red,medium
5.26,1.0,12.15,0.4,red,high
8.31,4.08,12.99,0.3,white,medium
9.49,2.63,11.13,1.2,red,medium
8.2,6.52,12.88,0.36,white,medium
7.99,8.23,12.06,0.75,white,medium
9.17,3.82,12.34,0.58,red,low
5.08,4.12,10.69,0.82,red,medium
9.37,2.31,13.61,0.68,red,high
5.78,7.06,11.78,0.81,white,medium
7.28,3.66,11.29,1.0,red,high
8.96,2.14,12.37,0.59,white,medium
5.76,8.33,12.24,0.7,red,high
5.86,3.12,13.9,0.87,red,high
7.59,1.84,10.67,0.57,white,low
7.96,4.2,12.55,0.53,red,medium
7.44,0.83,12.23,0.67,white,medium
7.2,7.54,8.93,0.6,white,low
7.43,6.08,12.97,0.91,red,medium
7.02,6.82,14.46,0.7,red,high
8.77,2.89,14.17,1.11,white,high
4.85,3.65,11.61,0.86,red,medium
6.44,4.03,13.88,0.54,white,high
6.35,3.45,12.26,0.52,red,medium
5.02,2.03,9.1,0.47,red,medium
5.46,2.45,8.33,1.17,white,medium
5.5,3.13,10.22,0.31,white,medium
8.43,4.83,14.15,0.83,white,medium
4.9,4.85,14.18,0.78,white,high
5.95,1.39,11.77,0.78,white,high
6.28,6.4,8.06,0.56,red,low
5.02,6.25,14.37,0.95,red,high
5.62,5.86,8.1,1.15,white,medium
6.39,8.77,11.03,0.82,red,high
7.85,6.55,9.58,0.67,white,low
8.94,5.36,10.48,0.6,white,medium
5.15,6.43,12.52,1.12,white,high
6.57,2.4,9.4,0.32,white,medium
6.54,6.03,8.19,0.31,white,low
7.95,3.56,8.69,0.91,white,medium
7.61,8.29,9.92,0.32,red,low
5.58,8.94,12.93,0.78,white,medium
6.29,6.64,12.24,1.02,red,high
6.79,4.54,13.14,1.08,red,high
5.24,7.95,11.25,0.61,red,medium
7.39,1.71,12.96,0.43,red,high
7.07,1.01,12.29,0.3,white,medium
8.43,3.56,11.97,1.17,white,medium
7.08,5.18,11.13,0.69,white,medium
6.12,5.47,10.69,1.11,white,high
8.45,8.11,12.78,0.57,white,medium
8.39,5.85,10.12,0.76,white,medium
7.72,6.25,10.23,0.34,red,medium
5.3,3.99,11.26,0.5,red,medium
5.42,5.23,12.92,1.18,white,medium
6.82,7.13,12.88,0.91,white,medium
8.0,0.88,11.0,0.87,red,high
6.88,7.9,9.6,0.9,white,medium
8.79,5.18,11.79,1.07,white,high
5.15,6.85,14.31,0.8,red,high
8.77,1.87,9.05,0.51,red,medium
7.8,4.16,8.4,0.33,red,low
8.85,2.07,10.43,0.65,red,low
5.17,8.42,10.47,1.15,red,high
8.98,1.83,12.72,0.45,white,medium
7.93,3.83,13.62,1.02,red,high
7.53,8.2,11.32,0.89,red,low
5.73,3.75,13.62,1.02,white,high
7.81,4.21,11.53,0.45,white,medium
7.96,3.53,13.16,0.89,white,high
7.22,4.69,10.93,0.44,white,medium
9.22,1.07,9.13,0.99,white,low
8.84,2.19,13.61,0.41,white,medium
8.24,3.24,10.54,0.81,red,medium
7.05,3.22,11.22,0.51,red,medium
6.97,4.43,10.01,0.99,white,medium
8.85,5.39,11.35,0.5,white,low
8.64,5.35,12.14,0.69,red,high
6.53,5.37,11.26,1.02,red,medium
7.88,6.76,14.48,0.37,white,high
6.13,7.96,12.93,1.11,red,high
6.84,1.62,14.17,0.74,white,high
6.7,0.93,9.5,0.54,red,medium
6.72,2.74,9.04,0.75,red,low
6.31,5.03,14.27,0.92,white,high
8.56,6.64,8.55,0.92,white,low
8.03,1.38,11.07,0.93,red,medium
8.53,4.21,9.43,0.69,white,low
7.03,4.7,10.71,0.47,white,low
8.93,2.28,10.41,1.16,white,medium
9.27,1.95,8.52,0.97,red,low
8.44,1.72,9.95,0.45,white,medium
7.11,4.15,9.31,0.73,white,low
9.13,7.68,8.4,0.71,white,low
8.25,2.46,9.9,0.87,white,low
6.41,6.05,9.71,0.99,red,medium
8.73,6.7,8.54,0.83,white,low
9.03,3.43,11.19,0.55,white,medium
5.17,7.15,8.47,0.74,red,medium
5.41,5.17,11.95,1.0,red,high
5.39,7.96,11.17,0.6,red,medium
8.35,8.65,12.55,0.8,red,medium
5.87,4.84,12.51,0.73,white,high
4.98,4.92,11.28,0.46,white,high
6.25,6.4,9.19,1.13,white,low
9.18,1.77,11.04,1.19,red,medium
8.12,4.23,13.22,1.1,white,high
7.8,5.01,9.62,0.55,red,medium
6.52,5.46,11.0,0.82,white,high
8.59,7.08,12.67,0.36,white,medium
7.8,2.08,12.32,1.12,white,high
7.34,5.47,9.34,0.78,red,medium
6.45,5.93,13.25,1.09,white,medium
8.54,5.18,10.51,0.59,red,medium
6.64,2.14,9.2,0.38,red,low
8.95,2.71,13.72,0.44,red,high
9.36,5.0,10.67,0.95,white,low
8.3,1.5,11.32,0.33,red,medium
7.99,4.48,13.78,1.06,red,high
5.39,3.69,10.55,0.81,red,medium
7.32,3.31,9.08,0.92,red,low
7.05,5.96,9.06,0.99,red,low
8.78,2.33,9.2,0.72,red,medium
7.41,5.79,13.14,0.35,red,medium
8.86,7.96,10.78,1.03,white,medium
7.36,7.54,10.55,1.19,white,low
8.3,7.86,11.3,1.02,red,medium
9.38,5.04,10.94,1.0,white,medium
5.41,4.71,13.8,0.75,red,high
8.18,4.41,9.13,0.45,red,low
8.75,2.2,13.17,0.48,red,high
6.8,1.15,10.74,1.0,white,medium
8.59,7.18,10.9,0.41,red,low
9.14,1.9,11.75,0.61,red,high
7.23,6.47,9.21,0.55,red,medium
7.16,8.59,9.58,0.89,white,low
9.08,8.84,13.18,1.15,white,medium
8.46,7.54,13.38,0.5,red,high
8.54,6.7,9.83,0.94,red,low
8.22,6.38,11.73,0.96,red,high
5.17,8.77,10.2,0.96,white,medium
5.08,3.62,10.66,0.73,red,medium
8.32,3.83,9.13,1.17,white,low
8.62,5.8,13.26,0.86,red,high
7.05,1.95,13.19,0.73,white,high
6.52,2.87,12.79,0.78,white,medium
8.49,8.76,13.07,1.09,red,high
4.96,5.48,9.55,1.16,red,high
6.97,7.53,10.35,1.07,white,low
9.36,5.17,12.02,0.74,white,medium
9.32,6.16,13.52,1.19,red,high
8.18,1.87,11.85,0.4,white,medium
8.93,5.79,12.2,0.94,red,high
6.78,2.7,8.55,0.32,red,low
5.7,5.04,10.01,1.11,white,medium
8.1,5.02,8.19,0.59,white,low
6.38,2.47,9.92,0.97,red,high
6.03,0.85,14.37,1.0,red,high
7.42,4.37,9.08,0.71,red,medium
6.68,8.11,9.14,0.89,white,low
8.62,8.36,14.0,0.76,red,medium
5.76,8.61,14.31,1.04,white,high
5.15,4.05,12.91,1.1,white,high
5.98,3.83,13.46,0.99,white,high
5.4,2.46,10.17,0.89,white,medium
9.4,2.62,8.7,0.65,white,low
6.83,4.15,14.13,0.72,white,high
6.7,5.72,14.47,0.9,red,high
6.02,3.68,11.76,0.5,red,high
5.8,2.74,13.19,1.1,red,high
5.73,5.88,9.75,1.11,white,medium
9.11,3.18,10.79,1.09,red,medium
8.57,2.49,14.15,0.43,white,high
5.79,7.11,9.56,0.79,white,low
7.44,6.41,10.17,1.05,red,high
7.92,8.86,13.75,1.18,red,high
7.97,1.05,11.16,0.43,red,medium
7.42,8.41,13.11,1.08,white,high
8.64,3.24,11.09,0.53,white,medium
7.55,1.57,12.34,1.02,red,high
6.6,8.35,14.39,0.75,red,high
8.29,6.13,8.66,0.62,white,low
7.51,5.95,10.84,0.81,white,medium
8.92,4.31,13.26,1.04,white,high
7.47,1.27,12.64,1.03,red,high
9.26,8.65,8.45,0.83,red,low
4.97,8.71,13.0,0.94,white,high
9.26,8.64,13.53,0.61,white,high
6.89,1.78,13.17,0.92,white,high
5.83,4.37,14.11,0.43,red,high
9.15,1.32,11.54,1.01,red,medium
8.78,5.1,13.8,0.81,red,high
8.62,1.17,12.34,0.73,red,medium
7.97,4.61,10.11,0.82,red,medium
9.32,6.72,9.93,0.92,white,medium
5.44,3.92,13.74,0.31,white,medium
6.7,7.81,11.35,0.77,red,medium
9.17,5.54,11.85,0.57,red,medium
5.19,4.15,8.4,0.96,white,low
7.71,2.65,12.08,0.77,red,high
5.81,3.04,11.89,1.03,red,high
7.97,8.43,13.14,0.54,red,medium
8.0,3.32,8.47,0.32,red,low
9.34,3.37,9.79,0.64,red,medium
5.85,6.99,10.54,0.61,white,low
6.26,1.42,11.31,0.9,white,high
7.62,8.62,8.67,0.9,white,medium
6.78,5.11,12.72,0.89,white,high
6.28,3.69,8.35,0.83,white,low
8.73,1.55,11.14,0.89,white,low
8.01,5.94,13.42,1.0,red,medium
7.66,3.99,8.94,0.8,red,low
7.85,4.48,11.02,0.91,red,medium
7.59,0.81,12.61,0.4,white,medium
9.42,7.78,10.84,1.09,white,medium
4.88,8.05,8.95,0.38,red,low
7.41,2.16,13.21,0.31,white,medium
4.86,7.67,14.0,0.86,red,high
9.18,3.04,13.02,0.31,red,medium
5.6,6.0,11.03,1.12,red,high
7.04,4.72,8.88,0.3,red,low
4.9,6.88,8.94,0.88,red,medium
7.66,1.41,13.69,0.69,white,high
7.91,4.72,8.14,0.98,white,low
8.41,2.41,11.88,0.7,white,medium
7.42,4.93,11.3,0.84,red,medium
7.42,8.37,12.5,0.48,white,medium
5.67,0.92,13.42,0.65,red,high
5.65,8.86,8.7,1.14,white,medium
9.02,7.1,13.94,0.92,white,medium
7.21,2.59,13.54,1.04,white,high
8.59,6.14,11.78,0.75,white,medium
7.42,2.38,10.81,0.48,white,medium
9.49,5.55,14.03,1.02,red,medium
7.36,8.83,13.76,0.84,red,high
6.76,0.95,9.07,0.89,red,low
7.65,4.77,11.05,0.46,white,medium
7.53,8.18,10.53,0.52,red,low
7.16,8.75,14.04,1.12,white,high
